Trajectories,,,,,,,,,,
100,,,,,,,,,,
,,HW3-003:PELVIS_T,,,HW3-003:R_Foot_T,,,HW3-003:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
146,0,83.09494,461.030823,1030.68042,-17.250843,403.771667,125.922981,139.998291,190.441086,134.977325
147,0,84.331642,461.705139,1030.323364,-17.312292,399.593079,129.777191,140.287262,195.061646,134.486679
148,0,85.461914,462.33902,1030.019531,-17.210135,394.274475,134.119064,140.597168,199.430161,133.796387
149,0,86.449753,462.910095,1029.818359,-16.774302,387.556213,138.641724,140.939194,203.524124,132.880554
150,0,87.278397,463.405396,1029.746826,-15.908277,379.374084,142.914505,141.312469,207.347,131.747208
151,0,87.949867,463.822723,1029.806519,-14.684259,369.800537,146.551819,141.703751,210.913513,130.44249
152,0,88.477028,464.16626,1029.97583,-13.286277,358.941833,149.346161,142.076385,214.257919,129.047806
153,0,88.88121,464.442963,1030.215332,-11.882245,346.888885,151.277603,142.366882,217.451187,127.649155
154,0,89.193932,464.662537,1030.472656,-10.559064,333.717712,152.435974,142.507339,220.584274,126.289352
155,0,89.451981,464.83606,1030.692505,-9.348262,319.514496,152.938461,142.474457,223.754166,124.981384
156,0,89.684662,464.971039,1030.829346,-8.292654,304.393921,152.884995,142.316055,227.088028,123.775909
157,0,89.901474,465.068604,1030.859619,-7.500588,288.467834,152.346329,142.111969,230.710175,122.750702
158,0,90.088036,465.122284,1030.788696,-7.147098,271.797028,151.369293,141.914413,234.636246,121.918816
159,0,90.21283,465.11676,1030.648193,-7.413619,254.400665,149.988403,141.728409,238.756882,121.205238
160,0,90.242744,465.026215,1030.483032,-8.396268,236.333389,148.228775,141.534988,242.94249,120.520172
161,0,90.162201,464.810181,1030.333618,-10.046313,217.751526,146.105576,141.328583,247.144608,119.833076
162,0,89.980446,464.419861,1030.225952,-12.216971,198.86496,143.654526,141.138626,251.422318,119.190704
163,0,89.712692,463.828827,1030.168335,-14.77273,179.820068,140.985352,141.014282,255.888367,118.679047
164,0,89.357414,463.053741,1030.15332,-17.625635,160.674545,138.293274,140.986084,260.627655,118.368469
165,0,88.89872,462.127136,1030.16333,-20.689135,141.472092,135.816544,141.033417,265.643616,118.269127
166,0,88.323517,461.065887,1030.173218,-23.838131,122.306198,133.780502,141.070007,270.824036,118.295341
167,0,87.633095,459.875244,1030.155273,-26.908981,103.328735,132.351868,140.980713,275.975037,118.29583
168,0,86.841385,458.563843,1030.083496,-29.741135,84.713699,131.623306,140.706329,280.948273,118.16288
169,0,85.96357,457.145569,1029.933105,-32.24646,66.59185,131.642136,140.275726,285.735535,117.897362
170,0,85.011444,455.638397,1029.677124,-34.428852,49.006691,132.431213,139.753265,290.453278,117.577515
171,0,83.995018,454.064728,1029.285767,-36.294559,31.984224,133.929886,139.182724,295.237549,117.285797
172,0,82.920021,452.445099,1028.734253,-37.756973,15.669882,135.922073,138.57164,300.124298,117.044586
173,0,81.787041,450.789948,1028.018066,-38.693264,0.333947,138.099991,137.912781,305.049103,116.817986
174,0,80.592308,449.096069,1027.167603,-39.091755,-13.74997,140.217316,137.217606,309.937469,116.565323
175,0,79.326454,447.348846,1026.241821,-39.100826,-26.363602,142.155167,136.525711,314.750854,116.27034
176,0,77.975113,445.528564,1025.310181,-38.961407,-37.323002,143.872772,135.888123,319.478271,115.935471
177,0,76.524345,443.618439,1024.428467,-38.916779,-46.475536,145.331696,135.351013,324.12146,115.571968
178,0,74.96743,441.60788,1023.622375,-39.142372,-53.729527,146.445877,134.948914,328.688171,115.196411
179,0,73.305405,439.489563,1022.885559,-39.706783,-59.085991,147.060501,134.697601,333.19046,114.827637
180,0,71.54451,437.256744,1022.192932,-40.556828,-62.639698,146.942657,134.590454,337.643097,114.48188
181,0,69.698875,434.903931,1021.520874,-41.52729,-64.559151,145.813309,134.602631,342.062469,114.169731
182,0,67.788971,432.427277,1020.863281,-42.385521,-65.085564,143.502228,134.698471,346.459625,113.894897
183,0,65.831345,429.824341,1020.233032,-42.882648,-64.51767,140.157867,134.84053,350.830536,113.655556
184,0,63.836151,427.094696,1019.653198,-42.805237,-63.157948,136.255249,134.999985,355.154877,113.448601
185,0,61.814068,424.244354,1019.146057,-42.063469,-61.278034,132.328186,135.166183,359.404602,113.275131
186,0,59.776867,421.292389,1018.725037,-40.770226,-59.084801,128.712555,135.347641,363.546753,113.142036
187,0,57.726917,418.270172,1018.4021,-39.214211,-56.64938,125.565063,135.562836,367.540283,113.058144
188,0,55.650986,415.211334,1018.201355,-37.733826,-53.90519,123.014694,135.836227,371.339783,113.03112
189,0,53.535526,412.143127,1018.155212,-36.567711,-50.739685,121.15963,136.195969,374.901611,113.068504
190,0,51.385578,409.083954,1018.287659,-35.771027,-47.076599,119.953484,136.663208,378.185303,113.180954
191,0,49.219673,406.044647,1018.608093,-35.27446,-42.927471,119.208504,137.239471,381.154236,113.383347
192,0,47.054737,403.030426,1019.111389,-35.019852,-38.409477,118.718239,137.90062,383.771179,113.690987
193,0,44.898396,400.044617,1019.776672,-35.014324,-33.700989,118.343903,138.605347,385.988068,114.112625
194,0,42.740532,397.09079,1020.571838,-35.275745,-28.962204,118.014046,139.314941,387.746826,114.644447
195,0,40.54945,394.170288,1021.470764,-35.777489,-24.28289,117.696037,140.004395,388.988739,115.268791
196,0,38.284237,391.283112,1022.466064,-36.445339,-19.68071,117.379501,140.65799,389.664734,115.956429
197,0,35.913799,388.434723,1023.55957,-37.170246,-15.116556,117.066353,141.254135,389.747314,116.667267
198,0,33.428848,385.638794,1024.736572,-37.831352,-10.520363,116.762444,141.755936,389.244141,117.359749
199,0,30.846163,382.915955,1025.952637,-38.349022,-5.855095,116.470634,142.145081,388.221924,118.03923
200,0,28.207546,380.292633,1027.143066,-38.72163,-1.155664,116.187157,142.468781,386.816559,118.816895
201,0,25.575806,377.798126,1028.242432,-38.995075,3.53648,115.907784,142.799576,385.176422,119.865959
202,0,23.028193,375.45578,1029.196655,-39.209126,8.253476,115.638466,143.137329,383.375549,121.288521
203,0,20.643742,373.27359,1029.972534,-39.387379,13.061961,115.390541,143.402893,381.378571,123.071449
204,0,18.485252,371.241211,1030.567017,-39.561104,17.962881,115.163185,143.528992,379.043732,125.177208
205,0,16.584545,369.336517,1031.008057,-39.769535,22.892637,114.941353,143.509659,376.151154,127.640083
206,0,14.942212,367.536682,1031.34314,-40.029041,27.812441,114.714073,143.359726,372.459839,130.579803
207,0,13.540167,365.825653,1031.620728,-40.32095,32.733631,114.487839,143.068451,367.756378,134.124207
208,0,12.349111,364.194214,1031.875488,-40.613697,37.649761,114.285492,142.603333,361.907349,138.278656
209,0,11.328751,362.634888,1032.125732,-40.878548,42.497898,114.134262,141.947403,354.922577,142.846741
210,0,10.433343,361.137085,1032.384277,-41.074341,47.23333,114.03537,141.131241,346.948059,147.475143
211,0,9.620265,359.68515,1032.666504,-41.142967,51.908615,113.945915,140.227219,338.163208,151.764725
212,0,8.858586,358.260284,1032.987549,-41.045784,56.632366,113.809113,139.3078,328.664276,155.369415
213,0,8.137325,356.844635,1033.362671,-40.791855,61.485485,113.593803,138.410904,318.432343,158.079498
214,0,7.462648,355.426605,1033.802002,-40.432255,66.471741,113.313019,137.536835,307.389221,159.863541
215,0,6.847506,354.004517,1034.306885,-40.049137,71.49173,113.029221,136.661987,295.457001,160.809814
216,0,6.308949,352.585846,1034.865845,-39.730652,76.390984,112.821442,135.763641,282.587036,161.019775
217,0,5.869491,351.183044,1035.457764,-39.525074,81.073853,112.721573,134.853638,268.806305,160.573868
218,0,5.550471,349.807556,1036.058228,-39.421169,85.555946,112.698662,133.991455,254.261948,159.565994
219,0,5.359657,348.46759,1036.646606,-39.366119,89.938324,112.714508,133.261002,239.153763,158.106888
220,0,5.285757,347.168182,1037.206909,-39.273754,94.393654,112.755386,132.73381,223.599487,156.280914
221,0,5.303392,345.912903,1037.724243,-39.043201,99.106773,112.79763,132.438965,207.622849,154.13205
222,0,5.382529,344.705383,1038.18457,-38.625385,104.126472,112.793381,132.358673,191.246704,151.697418
223,0,5.498991,343.551422,1038.567993,-38.062984,109.318405,112.713722,132.457657,174.519394,149.029785
224,0,5.638477,342.458313,1038.850952,-37.451504,114.493233,112.578682,132.70723,157.468674,146.182877
225,0,5.79163,341.429108,1039.012817,-36.864517,119.579208,112.414406,133.086945,140.063263,143.194199
226,0,5.953262,340.458527,1039.045654,-36.299259,124.716309,112.193161,133.58374,122.230972,140.097504
227,0,6.128976,339.533142,1038.962158,-35.708172,130.109924,111.878937,134.18161,103.928444,136.951126
228,0,6.336841,338.63385,1038.796753,-35.09861,135.726501,111.525757,134.840607,85.176788,133.852448
229,0,6.602538,337.736267,1038.597168,-34.556068,141.288116,111.243629,135.490982,66.032425,130.926483
230,0,6.955816,336.816772,1038.404541,-34.155415,146.585602,111.080223,136.059067,46.553108,128.30101
231,0,7.426374,335.859955,1038.240234,-33.899471,151.606644,111.00779,136.516083,26.803211,126.098129
232,0,8.032828,334.862122,1038.097168,-33.746773,156.405167,110.993179,136.906235,6.891253,124.443954
233,0,8.770286,333.831726,1037.948608,-33.66037,161.005585,111.032669,137.30687,-13.032859,123.437599
234,0,9.612194,332.784027,1037.762695,-33.630573,165.417801,111.139053,137.765503,-32.821911,123.10405
235,0,10.527028,331.731232,1037.516113,-33.656509,169.707855,111.303101,138.297073,-52.307915,123.44175
236,0,11.491209,330.675842,1037.203247,-33.690079,174.046127,111.452232,138.897751,-71.249931,124.497673
237,0,12.493569,329.60965,1036.834961,-33.630997,178.614059,111.482834,139.515762,-89.3918,126.33638
238,0,13.537567,328.519226,1036.431519,-33.424152,183.422073,111.374313,140.045135,-106.572121,128.966904
239,0,14.637827,327.39267,1036.010986,-33.120338,188.292969,111.218109,140.399506,-122.707481,132.34639
240,0,15.810644,326.22406,1035.581665,-32.815414,193.0504,111.115158,140.593796,-137.6474,136.433182
241,0,17.063713,325.013336,1035.140503,-32.56823,197.64296,111.104065,140.742157,-151.076996,141.178848
242,0,18.389868,323.765198,1034.675415,-32.366127,202.112976,111.162834,140.994629,-162.558197,146.444748
243,0,19.769323,322.487183,1034.173828,-32.154385,206.539948,111.233109,141.462143,-171.675034,151.923813
244,0,21.177853,321.184692,1033.628174,-31.923439,210.947952,111.280937,142.151871,-178.209335,157.129272
245,0,22.594942,319.855255,1033.035522,-31.757631,215.233353,111.343384,142.982483,-182.258255,161.462112
246,0,24.009953,318.486725,1032.393799,-31.75503,219.283875,111.471596,143.88089,-184.245941,164.324615
247,0,25.426239,317.058411,1031.694946,-31.899475,223.158188,111.646362,144.846848,-184.783936,165.267776
248,0,26.862988,315.543121,1030.922363,-32.060131,227.072144,111.794044,145.919662,-184.405212,164.154709
249,0,28.355701,313.909088,1030.058472,-32.106487,231.230316,111.841278,147.084503,-183.381058,161.240128
250,0,29.956079,312.12207,1029.097412,-31.998989,235.686615,111.74926,148.186005,-181.776413,157.103378
251,0,31.728615,310.151917,1028.055664,-31.821449,240.294144,111.56855,148.920517,-179.671936,152.459671
252,0,33.736511,307.979248,1026.97644,-31.713411,244.805984,111.408829,148.957214,-177.329361,147.910492
253,0,36.018269,305.596405,1025.92334,-31.739414,249.077789,111.319351,148.123108,-175.113953,143.746185
254,0,38.57008,303.004089,1024.96582,-31.90333,253.069244,111.302002,146.489243,-173.269058,139.924469
255,0,41.344177,300.2117,1024.161865,-32.243992,256.715759,111.401535,144.303833,-171.786667,136.251892
256,0,44.261959,297.240143,1023.546326,-32.779285,260.006897,111.65451,141.873322,-170.45195,132.620422
257,0,47.238415,294.127991,1023.129578,-33.431187,263.078674,112.013344,139.473892,-168.985077,129.093948
