Trajectories
100
,,HW3001:PELVIS_T,,,HW3001:R_Foot_T,,,HW3001:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-57.294689,319.013214,1148.597656,-183.278549,253.473663,93.582436,81.594032,-75.637627,135.501617
2,0,-56.164951,318.346741,1146.096558,-183.283539,272.265900,93.470238,86.098541,-102.539932,136.850418
3,0,-54.422871,317.345673,1143.276123,-183.097626,291.557892,93.277573,92.359879,-139.379059,140.142288
4,0,-52.236710,316.182281,1140.340698,-183.534943,310.262207,93.071999,98.990242,-177.668579,145.856873
5,0,-49.525696,314.688934,1137.094116,-183.704803,328.398499,93.068115,105.042885,-212.525696,154.015533
6,0,-46.474083,312.969330,1133.658813,-184.791992,346.867737,92.674095,110.058121,-243.054367,164.240158
7,0,-43.447948,310.924957,1130.087036,-185.663101,365.144623,92.478661,113.870651,-269.597870,175.817474
8,0,-40.401955,308.602905,1126.441895,-186.670456,382.878265,92.032211,116.604324,-292.260895,187.659271
9,0,-37.117035,306.055878,1122.849854,-187.562180,400.821472,91.229904,118.442215,-310.707245,198.284912
10,0,-33.712696,303.516479,1119.416992,-188.349243,418.016266,90.510170,119.340752,-324.502869,206.079102
11,0,-30.311819,301.072998,1116.241455,-188.727905,435.097076,89.183685,119.058907,-333.589752,209.742233
12,0,-27.090281,298.409210,1113.042114,-189.386642,451.671692,87.898956,117.432091,-338.482971,208.637405
13,0,-24.471226,296.408813,1109.896606,-190.018814,467.617950,86.124580,114.658493,-339.843903,202.950470
14,0,-22.824755,294.070953,1106.511230,-190.867111,483.066895,83.828773,111.262909,-337.832458,193.676834
15,0,-21.713272,291.179016,1103.013428,-191.831055,497.943390,81.021515,107.649155,-332.174835,182.373596
16,0,-20.662340,287.629150,1099.648926,-192.754089,512.226318,78.319054,103.838112,-323.150391,170.640503
17,0,-18.680323,283.455658,1096.750488,-193.975357,526.269470,76.429588,99.859016,-312.571136,159.409668
18,0,-16.022644,278.612457,1094.516479,-194.486435,540.427368,75.218925,96.179466,-303.410645,148.483185
19,0,-13.128812,273.635437,1093.161987,-194.958725,553.339355,75.454079,93.419266,-297.449890,137.174759
20,0,-9.797509,269.306671,1093.542969,-195.208939,564.325806,76.185272,91.810883,-292.881866,125.916496
21,0,-6.800393,266.170349,1095.091431,-195.308273,572.842834,78.094025,91.140427,-285.508820,116.705734
22,0,-5.890888,263.908752,1097.262695,-194.553024,580.408325,81.598602,90.995193,-272.848846,111.270317
23,0,-7.183457,262.308136,1099.510254,-194.952164,583.932739,87.088020,90.969406,-255.989258,109.253304
24,0,-8.630880,261.670349,1101.460815,-195.017929,584.263123,94.650833,90.801834,-237.579361,108.765030
25,0,-9.956030,261.209503,1102.818848,-194.022919,579.664001,103.570419,90.422523,-219.209152,108.316147
26,0,-10.813087,260.768036,1103.873535,-192.413361,567.697693,113.465378,89.895721,-200.806641,107.694412
27,0,-10.755549,261.244995,1105.394287,-190.966339,547.403320,124.138229,89.329018,-181.773590,107.276321
28,0,-9.836124,261.599915,1107.717041,-187.764160,519.877075,133.275681,88.809753,-161.958450,107.186752
29,0,-8.795288,261.686615,1110.725464,-182.692017,489.968353,139.677032,88.356758,-141.579086,107.222664
30,0,-8.317998,261.618805,1114.774292,-176.460068,460.577209,144.255386,87.917938,-120.904572,107.198708
31,0,-8.366661,261.309540,1119.592651,-172.904648,429.274963,147.304016,87.458176,-100.205040,107.134567
32,0,-8.952871,260.927704,1124.758423,-170.404968,399.377716,149.054947,87.015564,-79.668594,107.133392
33,0,-9.808830,260.555786,1129.759521,-168.612747,368.546661,149.945648,86.644844,-59.300533,107.222549
34,0,-10.658070,260.172913,1134.376343,-166.238632,335.870605,150.120224,86.351654,-39.023685,107.356369
35,0,-11.400182,259.808929,1138.579590,-163.103821,301.096588,150.066605,86.093712,-18.821302,107.478287
36,0,-12.056946,259.463165,1142.198730,-159.567032,265.611328,149.290527,85.818665,1.280574,107.569664
37,0,-12.422446,259.164215,1145.210938,-156.259293,229.966949,147.442413,85.492706,21.292988,107.663948
38,0,-12.746467,259.164490,1147.830688,-153.709106,193.876892,144.256775,85.101196,41.252995,107.788605
39,0,-13.165980,258.595001,1149.704590,-152.022003,157.867294,139.710419,84.642342,61.155182,107.922096
40,0,-13.678393,258.283142,1150.843384,-151.214920,120.830757,134.940689,84.154274,80.962021,108.034927
41,0,-14.253604,258.140442,1151.378174,-150.325394,83.356224,129.723251,83.725739,100.688972,108.125488
42,0,-14.777946,257.952972,1151.321411,-149.578674,45.859512,124.588531,83.406982,120.357063,108.195816
43,0,-15.359743,257.726593,1150.725952,-149.305511,7.738703,120.175644,83.145370,139.882050,108.236450
44,0,-16.058897,257.376984,1149.887085,-150.456650,-31.348143,117.090820,82.901421,159.177673,108.240204
45,0,-17.126383,256.995087,1148.654785,-152.236496,-70.255219,114.144943,82.752190,178.272659,108.204445
46,0,-18.180277,256.470612,1147.082153,-154.675659,-109.044693,112.392464,82.809181,197.209991,108.140678
47,0,-19.743216,255.833328,1145.207520,-157.931854,-147.443222,111.828064,83.130676,215.968613,108.081558
48,0,-21.433496,255.151718,1143.118042,-161.914856,-185.311279,113.274818,83.719093,234.533432,108.044533
49,0,-23.561163,254.278183,1140.781372,-165.735901,-222.172394,116.864639,84.518822,252.951767,108.001099
50,0,-25.893354,253.292206,1138.341431,-169.726547,-256.799469,123.171684,85.448219,271.291626,107.908073
51,0,-28.444641,252.275681,1135.721924,-173.175842,-289.017029,131.971115,86.473206,289.570557,107.758575
52,0,-31.172579,251.521225,1132.906616,-175.623444,-317.931458,142.166199,87.597900,307.724792,107.571846
53,0,-34.084961,249.663788,1129.371460,-177.323517,-343.197327,152.615707,88.766273,325.630096,107.343102
54,0,-37.119522,247.893295,1125.394165,-178.551590,-364.682800,162.367722,89.837677,343.170563,107.043480
55,0,-40.301579,246.051468,1121.054199,-178.910156,-382.531311,170.125641,90.691078,360.285889,106.653770
56,0,-43.334599,244.023987,1116.747437,-178.399445,-396.666382,175.571671,91.306885,376.935394,106.157043
57,0,-46.444332,241.890350,1112.558350,-176.980103,-405.817413,178.122345,91.733353,393.044067,105.505127
58,0,-49.244637,239.571838,1108.609497,-175.105972,-409.488678,176.900177,92.021347,408.528229,104.599564
59,0,-51.562412,237.020294,1104.850220,-173.733444,-408.712769,171.323929,92.197693,423.416412,103.277939
60,0,-53.321049,234.134308,1101.268799,-173.633423,-404.209076,161.910995,92.298683,437.904083,101.360260
61,0,-54.359814,230.576828,1098.017212,-175.027206,-395.647186,148.949341,92.428032,452.144836,98.875206
62,0,-55.299831,226.574570,1095.604370,-177.012344,-385.068146,135.166168,92.675354,465.986359,96.316933
63,0,-56.052395,222.833145,1094.639160,-179.217453,-380.427612,123.155655,92.953140,479.019745,94.516670
64,0,-55.726669,220.284912,1094.995728,-179.396149,-377.732666,111.238953,93.069473,490.794861,94.158394
65,0,-54.530636,218.112625,1095.593140,-177.677292,-367.735413,102.077148,92.986626,500.864014,95.527603
66,0,-53.235245,216.059814,1095.953125,-175.011490,-354.449646,96.282600,92.882240,508.702942,98.694908
67,0,-52.505043,214.445480,1095.859375,-174.773163,-336.703857,94.479752,92.892609,513.704346,103.716156
68,0,-52.455334,213.429565,1095.650146,-175.125717,-317.213287,93.865814,92.824409,515.235718,110.628395
69,0,-52.687710,212.472397,1096.116455,-175.606232,-297.849548,92.631699,92.246422,512.653870,119.408562
70,0,-53.105564,212.125839,1097.696533,-175.586533,-278.165192,92.157578,90.904243,505.305603,129.932312
71,0,-53.864017,211.115250,1100.168945,-175.482117,-258.301910,92.151497,88.837456,492.749695,141.756805
72,0,-54.752430,210.654938,1103.847534,-175.079514,-238.313950,92.086235,86.098846,475.292328,153.800842
73,0,-55.803066,210.382172,1108.220337,-174.830750,-218.296478,92.088203,82.728676,454.224396,164.488388
74,0,-56.944195,210.163361,1113.195801,-174.597717,-198.073349,92.186737,78.989365,431.097717,172.563660
75,0,-57.960674,209.951721,1118.453369,-174.278168,-177.629822,92.271645,75.245270,406.693298,177.768585
76,0,-59.180016,209.729462,1123.809814,-174.141617,-157.212784,92.557365,71.631195,380.894043,180.651245
77,0,-60.087532,209.496384,1129.083008,-173.972778,-136.663528,92.821381,68.064522,353.342651,181.873383
78,0,-60.850304,209.212402,1134.228394,-173.719818,-115.992905,92.790794,64.535004,323.916565,181.804657
79,0,-61.517803,208.839188,1139.181030,-173.441910,-95.505638,92.872154,61.241947,292.750793,180.568375
80,0,-61.779778,208.395828,1143.748169,-173.161636,-75.153229,92.889343,58.443245,260.131073,178.206619
81,0,-61.987431,208.004745,1147.681885,-172.604004,-54.971550,92.934601,56.263142,226.382660,174.773193
82,0,-62.132839,207.642349,1150.941528,-172.278900,-35.247013,92.890602,54.699570,191.712723,170.378082
83,0,-62.205620,207.249771,1153.572144,-171.553482,-15.008054,92.936188,53.743633,156.166275,165.242401
84,0,-62.057022,206.812195,1155.693237,-171.374725,4.760693,92.764732,53.424438,119.792259,159.720749
85,0,-61.597095,206.621414,1157.211182,-171.056046,24.307842,92.707138,53.816368,82.716988,154.215271
86,0,-60.985085,206.285782,1158.156006,-170.537460,43.893845,92.542976,55.030567,45.054657,149.022522
87,0,-60.161327,205.437332,1158.543701,-170.281647,63.026070,92.441086,57.108650,6.923984,144.248779
88,0,-59.582253,204.829605,1158.505371,-170.835236,81.694252,92.687500,59.930626,-31.510174,139.906357
89,0,-59.080624,204.040955,1157.989868,-170.449890,100.689789,92.622299,63.286884,-70.103836,136.084686
90,0,-58.302040,203.185028,1156.947632,-170.111557,119.592384,92.616463,67.013199,-108.772316,133.024658
91,0,-57.220863,202.276276,1155.349365,-169.902451,138.382568,92.414696,71.007538,-147.469086,131.115082
92,0,-55.939102,201.149857,1153.380005,-169.707901,157.178940,92.315926,75.139839,-186.109970,130.827728
93,0,-54.042290,199.849792,1151.052612,-169.724457,176.324341,91.672699,79.200966,-224.400330,132.601868
94,0,-51.763367,198.280609,1148.621582,-170.367310,194.581314,91.526596,82.935455,-261.716431,136.740265
95,0,-49.148212,196.449066,1145.987427,-170.856125,212.845200,91.326904,86.100418,-297.253326,143.280762
96,0,-46.469036,194.330994,1143.054443,-171.787949,231.320419,90.859039,88.512802,-330.324341,151.933746
97,0,-43.750256,191.985992,1139.902710,-172.418945,249.482635,90.498970,90.074821,-360.450256,162.174286
98,0,-40.932751,189.304733,1136.419922,-173.409088,267.431702,90.022728,90.796310,-387.200897,173.258789
99,0,-38.111969,186.010300,1132.491211,-174.355103,285.102356,89.141373,90.792511,-410.075714,184.155350
100,0,-35.420864,183.281509,1128.578125,-175.665085,302.625977,88.225464,90.161263,-428.530945,193.628036
101,0,-32.704433,180.363983,1124.675659,-176.039108,319.272675,87.064201,88.819862,-442.164581,200.399399
102,0,-29.875996,177.427750,1120.842285,-176.356216,336.385803,84.875687,86.574524,-451.035645,203.329376
103,0,-27.219208,174.561844,1117.037720,-176.923737,352.563416,82.926575,83.416168,-455.713135,201.760757
104,0,-25.126696,171.572220,1113.185669,-177.330841,368.194305,80.675240,79.670029,-456.734375,195.891724
105,0,-23.900190,168.351059,1109.395142,-177.996857,383.242950,78.176003,75.762077,-454.060730,186.798889
106,0,-22.805292,164.459152,1105.698608,-178.854980,398.075897,75.593063,71.893036,-447.525391,175.973633
107,0,-21.596828,159.858612,1102.206421,-179.624619,412.523834,73.781410,68.128746,-438.179382,164.618042
108,0,-19.789965,154.593475,1099.122314,-180.278992,426.894318,72.918259,64.767891,-428.935974,153.155670
109,0,-17.702694,149.013992,1096.565796,-180.809143,439.684479,73.228058,62.273952,-422.729675,141.449997
110,0,-15.250177,144.147156,1095.611084,-181.510315,450.621002,74.209732,60.828621,-419.194214,129.787918
111,0,-12.482054,140.756500,1096.164307,-181.605759,459.270874,76.651596,60.227695,-414.416290,119.535248
112,0,-11.715435,138.498077,1097.165527,-182.091797,467.051239,81.020264,60.057297,-404.942963,112.320419
113,0,-13.550135,136.582550,1098.512451,-182.186768,469.932220,87.987854,59.853081,-390.668732,108.549866
114,0,-15.603895,135.640015,1099.858643,-183.026901,468.715240,96.678047,59.381889,-373.616302,107.089882
115,0,-16.871887,135.056076,1101.099487,-183.376312,463.180389,107.247353,58.773670,-355.519928,106.445450
116,0,-17.675465,134.307785,1102.279663,-183.068283,451.174866,118.440002,58.262794,-336.885254,105.915497
117,0,-17.641157,134.410660,1104.045166,-183.463928,431.076752,130.620239,57.932270,-317.556396,105.526222
118,0,-16.676394,134.343277,1106.484131,-182.499634,404.882660,140.582718,57.713940,-297.522858,105.383934
119,0,-15.355636,134.156998,1109.659180,-180.098495,377.077332,147.327026,57.511806,-277.031067,105.446884
120,0,-14.643705,133.807297,1113.866089,-177.626236,348.534576,151.365494,57.303577,-256.323242,105.634911
121,0,-14.438691,133.283875,1118.954468,-175.850861,319.490540,153.678299,57.136906,-235.553268,105.885239
122,0,-14.506527,132.755096,1124.389282,-174.752136,289.248749,154.661102,57.013252,-214.866989,106.136635
123,0,-14.746796,132.343231,1129.627441,-173.462296,257.026917,154.782364,56.823948,-194.417984,106.349548
124,0,-14.923218,131.979584,1134.424927,-171.789169,222.062790,154.584717,56.467331,-174.258743,106.520073
125,0,-14.947152,131.599747,1138.796875,-169.531754,186.326614,153.177383,55.957806,-154.275650,106.625175
126,0,-14.894403,131.358932,1142.692261,-167.445282,149.323441,151.198975,55.360397,-134.282547,106.635567
127,0,-14.852669,130.984207,1146.053589,-165.338593,112.244804,148.062225,54.731163,-114.189941,106.601830
