Trajectories
100
,,HW3-004:PELVIS_T,,,HW3-004:R_Foot_T,,,HW3-004:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,110.200066,-73.954819,965.259521,-51.354053,202.699539,133.182251,189.928055,-511.524078,109.437836
2,0,110.574738,-73.204361,966.513672,-49.884075,192.110153,137.351746,189.936676,-501.630249,109.365730
3,0,111.103958,-72.166840,968.983887,-47.684120,175.794296,142.834122,190.003738,-486.982941,109.290031
4,0,111.738914,-70.983772,972.936462,-44.945934,154.488510,148.728806,190.135101,-468.652130,109.248199
5,0,112.428986,-69.820793,978.424866,-41.981403,129.534149,154.111328,190.306870,-448.141022,109.278511
6,0,113.142487,-68.795990,985.255432,-39.104656,102.264832,158.378082,190.481689,-426.769714,109.402397
7,0,113.864265,-67.944481,993.019836,-36.537048,73.643623,161.319000,190.626877,-405.405640,109.616188
8,0,114.581886,-67.224884,1001.186584,-34.361946,44.152405,163.002853,190.720367,-384.464233,109.894218
9,0,115.274109,-66.557198,1009.222290,-32.540401,13.883228,163.613251,190.750610,-364.038666,110.196915
10,0,115.907982,-65.868912,1016.700500,-30.970692,-17.257086,163.335144,190.717239,-344.046631,110.478577
11,0,116.443062,-65.124771,1023.367432,-29.553640,-49.348499,162.311951,190.629166,-324.342468,110.694351
12,0,116.838486,-64.329620,1029.145996,-28.232418,-82.359116,160.646454,190.497665,-304.789215,110.810875
13,0,117.059608,-63.511284,1034.087524,-27.001633,-116.158821,158.419220,190.330780,-285.291626,110.821274
14,0,117.081985,-62.698296,1038.295776,-25.897745,-150.588242,155.712006,190.139313,-265.796204,110.757462
15,0,116.891357,-61.904766,1041.851440,-24.982147,-185.517197,152.629440,189.947586,-246.278946,110.686058
16,0,116.480164,-61.126457,1044.767456,-24.322592,-220.862442,149.315002,189.789169,-226.747269,110.679512
17,0,115.842628,-60.346493,1046.981934,-23.976231,-256.573486,145.958466,189.682236,-207.259064,110.773666
18,0,114.971039,-59.545437,1048.382446,-23.976957,-292.606110,142.795013,189.611465,-187.921432,110.943298
19,0,113.854271,-58.710770,1048.848511,-24.329266,-328.895813,140.099579,189.545593,-168.838455,111.120926
20,0,112.478035,-57.843163,1048.292236,-25.010353,-365.329346,138.180145,189.480713,-150.034027,111.246445
21,0,110.826210,-56.959248,1046.682495,-25.979788,-401.713043,137.365417,189.463272,-131.422058,111.304619
22,0,108.883286,-56.091740,1044.049194,-27.191044,-437.742523,137.977982,189.561279,-112.864418,111.320328
23,0,106.637993,-55.287624,1040.472900,-28.596031,-472.990051,140.283905,189.804474,-94.273544,111.324150
24,0,104.087669,-54.604568,1036.064697,-30.139698,-506.918304,144.421753,190.148682,-75.672256,111.327377
25,0,101.242729,-54.105453,1030.948730,-31.754368,-538.924255,150.327881,190.499817,-57.161560,111.329094
26,0,98.131165,-53.850243,1025.252075,-33.368526,-568.400574,157.682434,190.781342,-38.831806,111.340393
27,0,94.803253,-53.885014,1019.104126,-34.931286,-594.797974,165.900711,190.990967,-20.698263,111.394653
28,0,91.334808,-54.231827,1012.642639,-36.431656,-617.671387,174.183212,191.206360,-2.712995,111.530907
29,0,87.825951,-54.887379,1006.016602,-37.885307,-636.698059,181.620956,191.544220,15.162749,111.764854
30,0,84.393112,-55.836224,999.383606,-39.283867,-651.673279,187.332291,192.108459,32.883331,112.064751
31,0,81.154221,-57.073811,992.898499,-40.536484,-662.507019,190.595215,192.957474,50.291977,112.337616
32,0,78.209702,-58.624382,986.705017,-41.448906,-669.252136,190.944412,194.097351,67.159225,112.426598
33,0,75.622208,-60.538719,980.937073,-41.765564,-672.165955,188.222061,195.493561,83.262863,112.125687
34,0,73.400024,-62.867867,975.733765,-41.264240,-671.765076,182.589233,197.089081,98.457558,111.217690
35,0,71.491936,-65.623581,971.256531,-39.865204,-668.801392,174.507889,198.817535,112.691940,109.535767
36,0,69.802040,-68.746117,967.693665,-37.703121,-664.103577,164.693451,200.606049,125.975449,107.043060
37,0,68.224892,-72.098404,965.235840,-35.114758,-658.314392,154.031036,202.371384,138.331970,103.913177
38,0,66.688652,-75.492386,964.020752,-32.530762,-651.651611,143.456436,204.021896,149.765396,100.573494
39,0,65.185326,-78.732735,964.063904,-30.319143,-643.851379,133.816330,205.472473,160.229492,97.665901
40,0,63.771584,-81.652481,965.204285,-28.664396,-634.359985,125.736427,206.664536,169.582047,95.908661
41,0,62.540775,-84.123108,967.098145,-27.543369,-622.669006,119.531929,207.569168,177.525772,95.899078
42,0,61.584038,-86.043221,969.276855,-26.796560,-608.590515,115.192879,208.160019,183.568680,97.940216
43,0,60.961254,-87.326241,971.262939,-26.241367,-592.329712,112.452209,208.373550,187.046265,101.970779
44,0,60.689915,-87.904297,972.710327,-25.762205,-574.362366,110.908630,208.095520,187.224396,107.623169
45,0,60.745956,-87.749580,973.520325,-25.340414,-555.235840,110.153984,207.201370,183.460434,114.368141
46,0,61.067863,-86.899734,973.887207,-25.029051,-535.410522,109.862526,205.634674,175.365494,121.663422
47,0,61.563396,-85.470345,974.253723,-24.902637,-515.192993,109.825294,203.471451,162.905075,129.033981
48,0,62.124786,-83.643845,975.190308,-25.009314,-494.752411,109.936226,200.921432,146.397812,136.069870
49,0,62.654293,-81.634659,977.239990,-25.340628,-474.176849,110.151726,198.260239,126.415253,142.394196
50,0,63.090965,-79.641647,980.775818,-25.829390,-453.524384,110.449318,195.734131,103.629028,147.673462
51,0,63.424469,-77.806587,985.909241,-26.378963,-432.846313,110.805092,193.487976,78.669296,151.685226
52,0,63.688240,-76.193123,992.468689,-26.908375,-412.183960,111.192802,191.540207,52.039314,154.381943
53,0,63.937569,-74.791466,1000.048523,-27.382780,-391.558777,111.592461,189.798828,24.093527,155.877060
54,0,64.225075,-73.542915,1008.106445,-27.810137,-370.970154,111.994827,188.107208,-4.942269,156.353455
55,0,64.584984,-72.372986,1016.081360,-28.211796,-350.406403,112.397530,186.309586,-34.933704,155.966797
56,0,65.029305,-71.220215,1023.497681,-28.589596,-329.861847,112.798111,184.316956,-65.799332,154.810486
57,0,65.552803,-70.050873,1030.033081,-28.907211,-309.355377,113.188988,182.147095,-97.475548,152.951065
58,0,66.140968,-68.857376,1035.534424,-29.091074,-288.942810,113.556610,179.924652,-129.885162,150.495758
59,0,66.776573,-67.646156,1039.987183,-29.047873,-268.714264,113.883896,177.846863,-162.914536,147.641418
60,0,67.443832,-66.425369,1043.457031,-28.694221,-248.769363,114.155045,176.132202,-196.411011,144.666489
61,0,68.131683,-65.199829,1046.023071,-27.993559,-229.174408,114.361092,174.970154,-230.206314,141.865860
62,0,68.837616,-63.972393,1047.731079,-26.988886,-209.923508,114.504135,174.490479,-264.150848,139.474182
63,0,69.571815,-62.745705,1048.577393,-25.811468,-190.931946,114.597412,174.759857,-298.135284,137.635117
64,0,70.359993,-61.519196,1048.520386,-24.651207,-172.070190,114.659653,175.795563,-332.087830,136.435349
65,0,71.243446,-60.282749,1047.508911,-23.699152,-153.218231,114.706528,177.575699,-365.955688,135.971283
66,0,72.277214,-59.013988,1045.514648,-23.093208,-134.307449,114.744034,180.036484,-399.677277,136.400635
67,0,73.526718,-57.684246,1042.550781,-22.891287,-115.331459,114.767448,183.066803,-433.145905,137.951904
68,0,75.062607,-56.272198,1038.676147,-23.072172,-96.329582,114.766197,186.514221,-466.166687,140.889160
69,0,76.952095,-54.779148,1033.983521,-23.552700,-77.359070,114.732224,190.207214,-498.422424,145.443237
70,0,79.245865,-53.239185,1028.580078,-24.215185,-58.472286,114.668053,193.984634,-529.471375,151.725845
71,0,81.961731,-51.719154,1022.572388,-24.941998,-39.708729,114.590523,197.720718,-558.786499,159.647766
72,0,85.069107,-50.307465,1016.060974,-25.647013,-21.102150,114.527832,201.337723,-585.824341,168.863419
73,0,88.481293,-49.095276,1009.151001,-26.291151,-2.694051,114.510605,204.803772,-610.096497,178.762482
74,0,92.060661,-48.158195,1001.970398,-26.879604,15.457469,114.560608,208.117142,-631.214111,188.519501
75,0,95.637794,-47.547523,994.687317,-27.448982,33.279419,114.679993,211.280655,-648.892029,197.198029
76,0,99.039536,-47.296768,987.511963,-28.052584,50.691906,114.841095,214.276047,-662.923767,203.887497
77,0,102.119896,-47.440681,980.678894,-28.747610,67.612045,114.975006,217.049469,-673.156738,207.840622
78,0,104.789421,-48.035328,974.411255,-29.585188,83.948242,114.959236,219.512299,-679.503113,208.581665
79,0,107.039848,-49.164013,968.883667,-30.601973,99.591980,114.611649,221.552307,-682.001099,205.968826
80,0,108.957306,-50.919086,964.201416,-31.811356,114.422470,113.704239,223.053116,-680.912537,200.205948
81,0,110.714134,-53.362862,960.404724,-33.194252,128.332489,112.010956,223.924606,-676.804565,191.804581
82,0,112.532692,-56.483665,957.495544,-34.693180,141.266220,109.392776,224.143936,-670.536804,181.500412
83,0,114.624359,-60.168049,955.468262,-36.216160,153.245132,105.900665,223.793259,-663.094238,170.139893
84,0,117.119926,-64.204460,954.323608,-37.656219,164.358871,101.852165,223.069641,-655.283508,158.564774
85,0,120.016571,-68.320450,954.055542,-38.925823,174.712509,97.831703,222.246323,-647.431519,147.523468
86,0,123.166946,-72.240067,954.613159,-39.991776,184.342041,94.590767,221.587677,-639.272888,137.615677
87,0,126.323311,-75.737419,955.857971,-40.886192,193.123749,92.872772,221.255875,-630.128967,129.254166
88,0,129.224579,-78.664566,957.545105,-41.675091,200.708801,93.230843,221.264206,-619.278870,122.633186
89,0,131.691101,-80.947662,959.347229,-42.390144,206.510040,95.910576,221.505661,-606.295288,117.722633
90,0,133.683151,-82.563576,960.928833,-42.957260,209.757355,100.829185,221.830917,-591.174927,114.310188
91,0,135.297714,-83.517632,962.048157,-43.167576,209.622284,107.628662,222.119415,-574.254089,112.084206
92,0,136.709564,-83.836624,962.653137,-42.720131,205.389191,115.754608,222.308014,-556.022461,110.719872
93,0,138.091721,-83.577797,962.931519,-41.326889,196.630157,124.529533,222.383087,-536.944641,109.937599
94,0,139.555588,-82.842667,963.291138,-38.833267,183.323929,133.225662,222.360367,-517.357727,109.526367
95,0,141.132690,-81.781174,964.273315,-35.294895,165.867798,141.157440,222.267288,-497.455048,109.342339
96,0,142.793015,-80.576736,966.422058,-30.971968,144.970001,147.791916,222.132324,-477.329407,109.296127
97,0,144.480530,-79.413788,970.147278,-26.243963,121.461502,152.840408,221.981674,-457.033905,109.338768
98,0,146.143738,-78.438881,975.615967,-21.484264,96.096504,156.281204,221.840240,-436.627716,109.450592
99,0,147.750488,-77.730728,982.700562,-16.950926,69.403687,158.295547,221.732803,-416.191589,109.630928
100,0,149.285858,-77.289925,990.998291,-12.740851,41.630951,159.152267,221.680145,-395.816254,109.884224
101,0,150.741104,-77.051285,999.919067,-8.822684,12.801526,159.107162,221.691544,-375.577240,110.203171
102,0,152.102585,-76.913673,1008.819336,-5.119121,-17.147797,158.358612,221.759888,-355.511993,110.556419
103,0,153.347336,-76.775703,1017.139099,-1.583065,-48.224953,157.050858,221.865692,-335.614990,110.889969
104,0,154.445328,-76.563011,1024.499268,1.773000,-80.316307,155.291763,221.990005,-315.852051,111.143570
105,0,155.366135,-76.236374,1030.735229,4.894979,-113.216698,153.166672,222.130264,-296.184082,111.274040
106,0,156.084106,-75.781563,1035.860840,7.724511,-146.712891,150.749039,222.311417,-276.583191,111.274963
107,0,156.580231,-75.191422,1039.990234,10.225698,-180.653931,148.115829,222.582535,-257.035248,111.183601
108,0,156.839874,-74.452606,1043.248779,12.388451,-214.967041,145.367188,222.995972,-237.536652,111.069527
109,0,156.847733,-73.542625,1045.707153,14.217107,-249.625565,142.644501,223.578873,-218.093063,111.006638
