Trajectories
100
,,HW3-010:PELVIS_T,,,HW3-010:R_Foot_T,,,HW3-010:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-35.677967,-66.859726,955.219238,-129.885330,-621.054382,156.604904,66.953636,43.216915,109.139145
2,0,-36.300297,-68.203255,953.379639,-128.496521,-617.397278,151.910263,67.403633,49.575188,108.849449
3,0,-37.281219,-70.250832,951.041870,-126.538795,-612.512573,145.636353,67.939667,57.883484,108.326752
4,0,-38.623577,-72.866386,948.689880,-124.291382,-606.629883,138.660690,68.478851,67.050369,107.600372
5,0,-40.281601,-75.787209,946.887817,-122.184113,-599.735413,131.905991,68.982216,76.127899,106.785797
6,0,-42.150528,-78.707520,946.124329,-120.650154,-591.691345,125.998917,69.464943,84.576294,106.045280
7,0,-44.082382,-81.376839,946.692932,-119.912048,-582.420959,121.183182,69.979744,92.167938,105.565842
8,0,-45.918232,-83.672356,948.614563,-119.846123,-571.955322,117.435806,70.600746,98.786400,105.558846
9,0,-47.504536,-85.597832,951.634216,-120.079117,-560.398132,114.638275,71.409103,104.272369,106.218132
10,0,-48.700050,-87.216461,955.307678,-120.240433,-547.879272,112.670967,72.450737,108.349998,107.639488
11,0,-49.405495,-88.569893,959.141479,-120.146698,-534.554260,111.401237,73.664726,110.618729,109.794930
12,0,-49.617668,-89.633873,962.718628,-119.810425,-520.623962,110.650993,74.851395,110.593468,112.621140
13,0,-49.463306,-90.328415,965.763794,-119.338013,-506.306183,110.231285,75.715424,107.753143,116.140663
14,0,-49.170780,-90.564110,968.148987,-118.827515,-491.774506,109.999466,75.947777,101.622421,120.411232
15,0,-48.991436,-90.289452,969.868591,-118.323700,-477.123962,109.870094,75.335098,91.961494,125.271141
16,0,-49.126560,-89.518318,971.018616,-117.829117,-462.376190,109.800217,73.872719,78.952118,130.206833
17,0,-49.700569,-88.334358,971.788025,-117.338692,-447.514191,109.777405,71.792778,63.162750,134.566986
18,0,-50.763977,-86.874733,972.441406,-116.860344,-432.529694,109.802277,69.474693,45.291080,137.893524
19,0,-52.287392,-85.298347,973.278381,-116.411156,-417.452637,109.868813,67.296684,25.888664,140.060532
20,0,-54.145763,-83.749405,974.576416,-116.006317,-402.343262,109.958763,65.499420,5.242197,141.191681
21,0,-56.124512,-82.328758,976.527283,-115.654037,-387.262482,110.050468,64.120819,-16.568264,141.507355
22,0,-57.966213,-81.083778,979.188232,-115.353424,-372.245819,110.128967,63.033543,-39.521915,141.219040
23,0,-59.444160,-80.017220,982.467041,-115.090469,-357.292358,110.189423,62.074627,-63.555405,140.496384
24,0,-60.421658,-79.105019,986.150269,-114.835457,-342.370392,110.233467,61.181370,-88.569435,139.470734
25,0,-60.869064,-78.312576,989.960632,-114.545700,-327.438721,110.262901,60.400085,-114.439636,138.218109
26,0,-60.849804,-77.603844,993.620361,-114.175568,-312.472626,110.275742,59.780350,-140.997269,136.737289
27,0,-60.490768,-76.945198,996.895447,-113.693016,-297.475311,110.266205,59.306683,-168.078674,134.989548
28,0,-59.940029,-76.307892,999.611511,-113.096359,-282.464661,110.227425,58.931992,-195.600281,132.987213
29,0,-59.321247,-75.670242,1001.651550,-112.417740,-267.456116,110.159607,58.637081,-223.543869,130.828537
30,0,-58.703434,-75.020264,1002.948853,-111.703400,-252.471207,110.076637,58.432789,-251.892593,128.642578
31,0,-58.098751,-74.358047,1003.484253,-110.986877,-237.553711,109.995293,58.322754,-280.615845,126.541702
32,0,-57.482929,-73.694221,1003.281860,-110.281517,-222.750900,109.915810,58.299442,-309.691711,124.638535
33,0,-56.820450,-73.048096,1002.401123,-109.588318,-208.074051,109.821236,58.380417,-339.100586,123.066689
34,0,-56.077194,-72.447571,1000.924011,-108.909187,-193.490555,109.696770,58.632252,-368.784515,121.967972
35,0,-55.216881,-71.925018,998.936584,-108.263336,-178.949982,109.548912,59.159904,-398.612640,121.487160
36,0,-54.197697,-71.511299,996.516113,-107.686386,-164.416489,109.407761,60.074989,-428.366364,121.797554
37,0,-52.978008,-71.235893,993.725769,-107.207848,-149.893555,109.306862,61.448879,-457.741150,123.125679
38,0,-51.522812,-71.131027,990.619446,-106.844818,-135.420456,109.257904,63.265324,-486.371887,125.736534
39,0,-49.808487,-71.233124,987.249695,-106.615791,-121.043045,109.245018,65.402115,-513.871155,129.861908
40,0,-47.825714,-71.579453,983.675171,-106.530663,-106.797363,109.244667,67.647980,-539.863403,135.602066
41,0,-45.576096,-72.201118,979.966492,-106.569931,-92.717628,109.247520,69.746124,-564.007874,142.854553
42,0,-43.070995,-73.115013,976.210999,-106.700996,-78.846161,109.256599,71.465065,-586.004822,151.280884
43,0,-40.338448,-74.316795,972.513123,-106.905487,-65.228889,109.273438,72.682861,-605.592773,160.291489
44,0,-37.428421,-75.776688,968.989929,-107.175919,-51.903595,109.296898,73.440193,-622.538574,169.063889
45,0,-34.413486,-77.443962,965.757935,-107.506035,-38.902851,109.326790,73.905258,-636.620056,176.643188
46,0,-31.389267,-79.262573,962.913086,-107.897171,-26.267473,109.357521,74.240784,-647.632141,182.126160
47,0,-28.471073,-81.192825,960.502319,-108.360603,-14.048402,109.371658,74.463585,-655.428650,184.862015
48,0,-25.782513,-83.230782,958.500854,-108.906143,-2.287811,109.344673,74.417023,-659.974792,184.600342
49,0,-23.434275,-85.416794,956.805664,-109.528664,9.008721,109.245193,73.882362,-661.395447,181.532669
50,0,-21.496305,-87.826096,955.253845,-110.205734,19.876553,109.020737,72.724617,-660.040771,176.212387
51,0,-19.974749,-90.543228,953.669556,-110.911987,30.354525,108.597435,70.948792,-656.545471,169.386490
52,0,-18.803795,-93.629265,951.927429,-111.637100,40.438820,107.915527,68.669731,-651.757324,161.788910
53,0,-17.850885,-97.093491,950.007263,-112.386589,50.077484,106.963692,66.095863,-646.482849,153.963150
54,0,-16.935858,-100.882355,948.021301,-113.167961,59.200951,105.778900,63.542068,-641.184875,146.207764
55,0,-15.877297,-104.889099,946.208191,-113.971115,67.744041,104.438133,61.373810,-635.845520,138.686127
56,0,-14.560555,-108.975754,944.891357,-114.749481,75.641052,103.068359,59.864761,-630.086548,131.587418
57,0,-12.985125,-112.997620,944.400940,-115.432701,82.802185,101.867523,59.083096,-623.439819,125.164467
58,0,-11.259374,-116.821625,944.976746,-115.993088,89.082031,101.094696,58.881092,-615.571533,119.646233
59,0,-9.554844,-120.329514,946.688232,-116.521080,94.255745,100.984100,58.975029,-606.345947,115.169701
60,0,-8.052055,-123.414948,949.408142,-117.230598,98.017403,101.632416,59.084469,-595.771729,111.778542
61,0,-6.897252,-125.993446,952.841797,-118.367729,99.994247,102.998726,59.063766,-583.951233,109.418045
62,0,-6.167752,-128.019943,956.599731,-120.078194,99.747765,105.077652,58.938614,-571.080078,107.913620
63,0,-5.846857,-129.489563,960.287598,-122.313156,96.755653,108.074387,58.831879,-557.428284,107.005638
64,0,-5.825668,-130.421967,963.585205,-124.799553,90.467628,112.288483,58.850948,-543.265808,106.445137
65,0,-5.936092,-130.848389,966.287048,-127.093750,80.538284,117.710495,59.023449,-528.802673,106.064407
66,0,-5.996490,-130.807571,968.315674,-128.753769,67.086739,123.784286,59.309696,-514.175842,105.783928
67,0,-5.847441,-130.349823,969.722839,-129.552673,50.685333,129.653824,59.653320,-499.460724,105.585114
68,0,-5.370009,-129.548019,970.684143,-129.560165,32.073185,134.621384,60.017929,-484.693939,105.474052
69,0,-4.504111,-128.503708,971.471680,-129.033325,11.873038,138.384308,60.393154,-469.894623,105.449478
70,0,-3.275837,-127.335609,972.395752,-128.233734,-9.517490,140.967148,60.781403,-455.071106,105.490364
71,0,-1.806120,-126.156853,973.737427,-127.320992,-31.908251,142.531952,61.181995,-440.220459,105.565109
72,0,-0.281035,-125.053780,975.694275,-126.359314,-55.250858,143.236908,61.584969,-425.338776,105.648209
73,0,1.101480,-124.071663,978.342529,-125.370178,-79.550949,143.192535,61.976105,-410.435516,105.730995
74,0,2.185728,-123.211929,981.616333,-124.383247,-104.801117,142.486160,62.346134,-395.532715,105.820992
