Trajectories
100
,,HW3002:PELVIS_T,,,HW3002:R_Foot_T,,,HW3002:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,24.011091,281.320557,1043.155518,-85.371124,101.267975,150.781784,99.991623,150.314224,117.621552
2,0,23.805653,282.508240,1044.224976,-86.285393,70.668205,147.281860,100.491280,163.456512,117.674896
3,0,23.404402,284.003357,1044.036621,-87.575836,39.376945,144.849884,101.105324,181.765045,117.722282
4,0,22.879501,285.682556,1042.560059,-88.727478,8.107916,142.798584,101.605469,201.522095,117.700462
5,0,22.055380,287.431763,1039.919067,-89.371643,-23.303658,142.099548,101.908760,220.800659,117.627304
6,0,20.899574,289.246735,1036.150146,-90.140953,-54.118202,142.592102,102.101974,239.531616,117.609352
7,0,19.704699,291.099152,1031.600586,-90.785370,-85.009827,144.126617,102.304428,258.082703,117.709450
8,0,18.381462,292.781830,1026.290161,-91.199463,-115.176498,146.988068,102.567657,276.563812,117.873726
9,0,17.107040,294.333954,1020.486938,-91.488373,-144.257126,150.934036,102.898003,294.860168,118.008247
10,0,16.017746,295.524597,1014.441589,-91.370567,-170.647049,156.372040,103.336678,312.840485,118.066467
11,0,14.885118,296.199341,1008.439758,-91.280617,-193.865097,162.452545,103.957390,330.439453,118.034615
12,0,13.963678,296.281677,1002.828003,-90.520851,-213.578629,168.762131,104.793678,347.612793,117.882309
13,0,12.861566,295.855225,998.126892,-88.867188,-228.895462,174.563126,105.825806,364.283447,117.568245
14,0,11.624463,294.809875,994.420105,-86.197960,-240.084015,178.347198,107.015663,380.331970,117.057777
15,0,10.135103,293.062042,991.679199,-82.553581,-246.487076,179.925919,108.288887,395.594025,116.289612
16,0,8.373862,290.721283,989.656921,-77.945374,-248.707413,178.651947,109.509384,409.901306,115.176003
17,0,6.348796,287.927582,988.221375,-71.700935,-247.717239,175.019791,110.583298,423.207245,113.717003
18,0,4.350284,284.791168,987.074585,-63.223831,-242.191772,167.132294,111.626320,435.611908,112.113014
19,0,2.460546,281.518341,986.120239,-56.681004,-234.297470,156.111771,112.955269,447.182556,110.752480
20,0,0.736555,278.501709,985.512512,-51.393101,-225.715698,147.896667,114.838982,457.789764,110.100853
21,0,-0.646267,276.382324,985.644897,-47.321655,-215.483765,140.866150,117.188858,467.035919,110.595383
22,0,-1.314277,275.437714,986.740051,-45.853374,-204.741516,134.228485,119.524704,474.235931,112.518143
23,0,-0.964741,275.195068,988.709839,-45.050392,-191.057770,129.558258,121.458908,478.621613,115.685684
24,0,0.310690,274.976105,991.039795,-45.411316,-175.699249,125.554947,123.168785,479.677094,119.306145
25,0,2.282825,274.638550,993.213806,-45.915981,-160.075226,121.547470,125.061768,477.069275,122.769043
26,0,4.291564,274.257904,994.836792,-45.252121,-142.636841,119.027161,127.114815,470.153595,126.700890
27,0,5.808032,274.136780,995.978210,-44.661507,-123.542648,118.108887,128.832916,458.035400,132.288498
28,0,6.142246,274.493195,996.894470,-44.384026,-104.471870,117.204048,129.667099,440.520294,139.407806
29,0,5.532345,275.141449,998.102478,-44.257088,-85.254761,116.530075,129.388901,418.601227,146.463242
30,0,3.994134,275.544159,1000.119202,-44.151741,-65.922867,116.003807,128.232529,393.745514,152.019440
31,0,2.257409,275.663086,1003.300049,-44.648388,-46.830597,115.646133,126.700806,367.051849,155.765640
32,0,0.536437,275.555237,1007.732727,-44.576248,-26.892174,115.328110,125.231277,339.104309,158.090317
33,0,-0.981421,275.243439,1013.156189,-44.993938,-7.106443,115.331314,124.041992,310.194000,159.341431
34,0,-1.923440,274.775238,1019.087646,-45.707966,12.472504,115.314278,123.169846,280.471863,159.558273
35,0,-2.777453,274.227844,1025.030151,-46.196533,32.045200,115.196701,122.554634,249.991898,158.661789
36,0,-3.408806,273.749481,1030.594604,-47.067665,51.125401,114.982361,122.126228,218.774796,156.744781
37,0,-3.871910,273.335938,1035.624878,-47.910469,70.280220,115.032570,121.867554,186.932526,154.161346
38,0,-4.091134,273.041077,1039.921143,-48.430618,89.628021,114.887405,121.747551,154.648117,151.351379
39,0,-4.129373,272.841461,1043.179688,-48.920555,108.901581,114.722687,121.611755,122.009720,148.620331
40,0,-3.959041,272.813080,1045.514282,-49.071442,127.900215,114.222626,121.259575,89.010887,146.152451
41,0,-3.574231,273.053558,1046.750488,-49.486973,146.712585,114.127357,120.592705,55.673275,144.198334
42,0,-2.871944,273.382385,1046.851318,-49.811115,165.413147,113.934280,119.613342,22.069099,143.090652
43,0,-1.891770,273.973267,1045.870605,-49.999672,184.023148,113.839844,118.365799,-11.694072,143.042877
44,0,-0.640244,274.699097,1043.825562,-49.768032,203.461502,114.082603,116.892250,-45.444847,144.065872
45,0,1.045281,275.539917,1040.606812,-49.957535,222.445740,114.070801,115.199928,-78.915642,146.095673
46,0,2.871609,276.410858,1036.372070,-50.037773,241.149384,114.098862,113.329201,-111.660454,149.142792
47,0,4.728260,277.243439,1031.214233,-50.188801,259.452148,113.968285,111.433487,-142.924194,153.346634
48,0,6.508577,277.833160,1025.293091,-50.047775,277.823334,113.904968,109.682877,-171.709518,158.848801
49,0,8.131970,277.984222,1019.021362,-49.887817,296.012207,113.865547,108.042274,-197.095261,165.523254
50,0,9.448653,277.656006,1012.869934,-49.773540,314.060303,113.701424,106.178810,-218.541611,172.776566
51,0,10.795685,276.728516,1007.183777,-49.787750,331.514862,113.463585,103.695084,-235.979416,179.569382
52,0,12.018751,275.243164,1002.442505,-50.056995,348.357513,112.956657,100.519714,-249.590927,184.694687
53,0,13.558762,273.213989,998.776917,-50.557209,363.993744,111.993950,96.927399,-259.423218,187.175552
54,0,15.357610,271.169525,996.208008,-51.036583,378.801544,110.638763,93.040825,-265.249725,186.487961
55,0,17.285873,267.754333,994.229614,-51.688976,393.398956,108.974998,88.494568,-266.907745,182.447830
56,0,19.115093,264.297363,992.885132,-52.501492,406.873322,107.153267,82.904747,-264.780212,175.075104
