Trajectories
100
,,HW3-005:PELVIS_T,,,HW3-005:R_Foot_T,,,HW3-005:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-50.799942,-144.229660,939.261719,-187.204239,-105.875290,134.292953,-9.417743,-442.536591,105.057678
2,0,-50.185677,-142.567291,939.558655,-185.439484,-112.820648,136.768341,-9.504688,-436.198608,105.056419
3,0,-49.474026,-140.301178,940.004089,-182.929428,-122.532623,139.488922,-9.604203,-427.627136,105.054619
4,0,-48.801167,-137.664749,940.581055,-179.941666,-134.234726,141.820984,-9.679416,-417.731659,105.069595
5,0,-48.252426,-134.876022,941.257446,-176.783752,-147.195541,143.372101,-9.699190,-407.327362,105.119469
6,0,-47.847847,-132.067581,941.988159,-173.681961,-160.992111,144.059464,-9.662084,-396.884033,105.202629
7,0,-47.569962,-129.295074,942.715576,-170.762482,-175.482758,143.987488,-9.594653,-386.583862,105.299942
8,0,-47.393353,-126.570015,943.379272,-168.085693,-190.683258,143.314224,-9.526181,-376.450531,105.396500
9,0,-47.299900,-123.887497,943.935059,-165.695862,-206.644196,142.175095,-9.471588,-366.441772,105.486977
10,0,-47.280918,-121.243340,944.369629,-163.657028,-223.370636,140.651184,-9.432835,-356.495209,105.564201
11,0,-47.334164,-118.642921,944.701721,-162.036957,-240.812149,138.760742,-9.405049,-346.554871,105.621384
12,0,-47.460094,-116.101212,944.970520,-160.866257,-258.892700,136.478516,-9.381348,-336.588196,105.663048
13,0,-47.658611,-113.637428,945.218262,-160.147476,-277.522675,133.788544,-9.356668,-326.586121,105.701111
14,0,-47.928093,-111.269844,945.474548,-159.894760,-296.606445,130.748489,-9.330909,-316.554199,105.741241
15,0,-48.267284,-109.012032,945.750427,-160.136093,-316.071106,127.517525,-9.308025,-306.503723,105.778473
16,0,-48.676769,-106.871506,946.039124,-160.886154,-335.883087,124.325394,-9.289205,-296.445709,105.805801
17,0,-49.157421,-104.852005,946.320496,-162.139526,-356.026520,121.411644,-9.272166,-286.387268,105.821526
18,0,-49.709324,-102.955490,946.564697,-163.885864,-376.470581,118.978905,-9.260387,-276.330902,105.825508
19,0,-50.334373,-101.181557,946.738342,-166.117126,-397.154205,117.180481,-9.265423,-266.276794,105.814339
20,0,-51.040657,-99.527214,946.810303,-168.817215,-417.979004,116.138115,-9.295195,-256.229492,105.784714
21,0,-51.843636,-97.989784,946.754761,-171.940994,-438.793610,115.974709,-9.342290,-246.206223,105.738579
22,0,-52.758018,-96.569809,946.553833,-175.389816,-459.373047,116.841728,-9.389330,-236.231415,105.680008
23,0,-53.788155,-95.270256,946.192810,-178.996735,-479.405975,118.917038,-9.426288,-226.317566,105.609024
24,0,-54.930161,-94.093491,945.652161,-182.539429,-498.506042,122.354164,-9.458363,-216.459335,105.523163
25,0,-56.179241,-93.040070,944.907410,-185.776688,-516.252319,127.190651,-9.499148,-206.645111,105.419090
26,0,-57.532444,-92.108536,943.936279,-188.477402,-532.247253,133.255875,-9.556723,-196.869751,105.288277
27,0,-58.986679,-91.294258,942.724792,-190.438553,-546.163452,140.127274,-9.619563,-187.136719,105.117447
28,0,-60.528664,-90.589668,941.275146,-191.513214,-557.747559,147.156891,-9.649470,-177.454727,104.899269
29,0,-62.121361,-89.986763,939.617676,-191.633835,-566.784363,153.554047,-9.594677,-167.837906,104.645035
30,0,-63.700565,-89.480309,937.823242,-190.796432,-573.074402,158.506180,-9.426361,-158.307770,104.383682
31,0,-65.184990,-89.072807,935.997742,-189.007080,-576.491455,161.334045,-9.153306,-148.890732,104.143997
32,0,-66.495430,-88.780807,934.253845,-186.241959,-577.125427,161.665085,-8.788076,-139.614304,103.937950
33,0,-67.579628,-88.637177,932.670227,-182.486008,-575.418335,159.573380,-8.320945,-130.503174,103.758850
34,0,-68.431061,-88.684341,931.265869,-177.858627,-572.170105,155.585846,-7.735025,-121.574928,103.591095
35,0,-69.091507,-88.957397,930.005676,-172.734283,-568.347412,150.465256,-7.026155,-112.843033,103.421249
36,0,-69.642769,-89.467735,928.832581,-167.719482,-564.749390,144.848923,-6.205978,-104.332695,103.239227
37,0,-70.191338,-90.202942,927.708191,-163.453964,-561.721252,139.034805,-5.305694,-96.098274,103.034584
38,0,-70.841743,-91.140457,926.633179,-160.359467,-559.098755,133.108185,-4.380267,-88.220543,102.805679
39,0,-71.667145,-92.256981,925.645264,-158.492462,-556.394287,127.211411,-3.488187,-80.777206,102.558266
40,0,-72.695969,-93.524933,924.807983,-157.584366,-553.082642,121.640251,-2.660543,-73.821587,102.266685
41,0,-73.915474,-94.902496,924.193848,-157.221039,-548.782654,116.755157,-1.899824,-67.398468,101.850990
42,0,-75.277786,-96.328972,923.870911,-157.031494,-543.271973,112.861198,-1.200212,-61.560375,101.215240
43,0,-76.708572,-97.729408,923.892517,-156.807831,-536.479675,110.099724,-0.551060,-56.357944,100.307686
44,0,-78.122993,-99.025581,924.287109,-156.533691,-528.521729,108.378853,0.073663,-51.828396,99.154762
45,0,-79.444740,-100.149124,925.040344,-156.313339,-519.675598,107.424980,0.709362,-47.989376,97.864845
46,0,-80.626213,-101.050423,926.075562,-156.249222,-510.261719,106.929207,1.378695,-44.834217,96.617157
47,0,-81.665588,-101.699867,927.253723,-156.363373,-500.538940,106.658958,2.077140,-42.336544,95.632950
48,0,-82.612770,-102.081047,928.403320,-156.603546,-490.674835,106.480286,2.777052,-40.457603,95.117081
49,0,-83.554878,-102.181862,929.370361,-156.888168,-480.758453,106.330597,3.452376,-39.149521,95.190582
50,0,-84.581825,-101.990753,930.069763,-157.136444,-470.827728,106.185417,4.115766,-38.374126,95.867119
51,0,-85.755150,-101.499336,930.513855,-157.285416,-460.893646,106.038734,4.838133,-38.168034,97.111145
52,0,-87.098602,-100.707558,930.802734,-157.313263,-450.950928,105.897415,5.719704,-38.723862,98.942917
53,0,-88.599266,-99.629745,931.082214,-157.249146,-440.983582,105.776886,6.816803,-40.397301,101.497078
54,0,-90.208488,-98.297470,931.486877,-157.148224,-430.976715,105.690659,8.089292,-43.648136,104.984192
55,0,-91.847458,-96.754662,932.096191,-157.052048,-420.926117,105.639664,9.416088,-48.962757,109.557121
56,0,-93.421410,-95.048195,932.919434,-156.969940,-410.840637,105.612381,10.636427,-56.691666,115.111099
57,0,-94.839737,-93.221191,933.909912,-156.889267,-400.734680,105.596123,11.589943,-66.842041,121.166443
58,0,-96.032364,-91.308899,934.992432,-156.797729,-390.620544,105.586479,12.174005,-79.041016,127.003906
59,0,-96.956474,-89.335327,936.088745,-156.695389,-380.509247,105.588730,12.386856,-92.728722,131.969086
60,0,-97.596405,-87.315475,937.136902,-156.591797,-370.417023,105.616035,12.310966,-107.408997,135.687729
61,0,-97.958359,-85.262810,938.102600,-156.498169,-360.358063,105.680656,12.055856,-122.785988,138.094238
62,0,-98.059601,-83.191879,938.979553,-156.415222,-350.331909,105.779320,11.712543,-138.749222,139.351898
63,0,-97.920479,-81.115562,939.779907,-156.325928,-340.325592,105.892494,11.334589,-155.287750,139.725143
64,0,-97.566277,-79.047432,940.520142,-156.209579,-330.325073,106.002052,10.933671,-172.421585,139.451981
65,0,-97.031754,-77.007729,941.211487,-156.063126,-320.316010,106.103180,10.499857,-190.166092,138.681732
66,0,-96.356544,-75.018906,941.857422,-155.904907,-310.278992,106.197693,10.045018,-208.518204,137.481644
67,0,-95.575745,-73.092377,942.458191,-155.758560,-300.196747,106.282394,9.629045,-227.458893,135.877487
68,0,-94.719345,-71.228371,943.014709,-155.632080,-290.074066,106.348991,9.354112,-246.948044,133.897232
69,0,-93.815376,-69.428711,943.526794,-155.517471,-279.940704,106.392288,9.349664,-266.919067,131.590912
70,0,-92.885124,-67.702072,943.988770,-155.405960,-269.834167,106.411148,9.753332,-287.300079,129.036621
71,0,-91.938789,-66.060532,944.386108,-155.293457,-259.786377,106.402168,10.682439,-308.042725,126.350967
72,0,-90.975845,-64.518196,944.695679,-155.180527,-249.814911,106.359451,12.205033,-329.117462,123.691505
73,0,-89.983566,-63.090668,944.888489,-155.071579,-239.920761,106.281494,14.320178,-350.483795,121.241814
74,0,-88.939568,-61.792797,944.938538,-154.968994,-230.092133,106.174446,16.950235,-372.071136,119.193344
75,0,-87.820869,-60.636978,944.830811,-154.875809,-220.296402,106.047951,19.944475,-393.776794,117.738129
76,0,-86.609879,-59.633709,944.562134,-154.803238,-210.482269,105.909569,23.093750,-415.456329,117.070518
77,0,-85.295181,-58.791653,944.134705,-154.757523,-200.627380,105.761093,26.159271,-436.896027,117.380165
78,0,-83.870148,-58.113071,943.547607,-154.724091,-190.772369,105.596870,28.914406,-457.786804,118.822670
79,0,-82.328415,-57.590393,942.791138,-154.681519,-180.975067,105.409981,31.185280,-477.728271,121.480911
80,0,-80.659615,-57.209839,941.846375,-154.620773,-171.253326,105.200523,32.873055,-496.264221,125.331078
81,0,-78.849770,-56.957905,940.686340,-154.538269,-161.591400,104.971382,33.958897,-512.926392,130.206985
82,0,-76.884239,-56.827129,939.278564,-154.425568,-151.973862,104.721573,34.510201,-527.284241,135.768829
83,0,-74.754951,-56.819820,937.596252,-154.275085,-142.400589,104.451981,34.686779,-539.010010,141.504135
84,0,-72.470451,-56.945316,935.637268,-154.088486,-132.884674,104.171959,34.718948,-547.933350,146.779312
85,0,-70.057198,-57.211044,933.438171,-153.876083,-123.443336,103.893936,34.854576,-554.054504,150.929611
86,0,-67.552422,-57.616035,931.075317,-153.652893,-114.090462,103.624146,35.307587,-557.516663,153.357864
87,0,-64.997498,-58.152817,928.655762,-153.437103,-104.837982,103.362167,36.217075,-558.575012,153.629547
88,0,-62.432930,-58.814709,926.296509,-153.250183,-95.704872,103.108528,37.586300,-557.596680,151.585968
89,0,-59.892075,-59.600384,924.101318,-153.113266,-86.724449,102.872444,39.207222,-555.089661,147.459869
90,0,-57.393547,-60.508545,922.145752,-153.042557,-77.941986,102.674400,40.656689,-551.680969,141.870087
91,0,-54.937927,-61.528214,920.480835,-153.046295,-69.404762,102.541466,41.429195,-547.953613,135.600555
92,0,-52.515430,-62.636799,919.144958,-153.124146,-61.154716,102.498917,41.157631,-544.217285,129.315094
93,0,-50.121326,-63.803822,918.172180,-153.269714,-53.228832,102.564095,39.806984,-540.416870,123.455147
94,0,-47.769985,-64.993530,917.592529,-153.474411,-45.668045,102.742355,37.731606,-536.232178,118.322258
95,0,-45.497665,-66.168640,917.426270,-153.725723,-38.527863,103.020668,35.535515,-531.255249,114.153915
96,0,-43.346195,-67.293625,917.671204,-153.998520,-31.879284,103.360031,33.785904,-525.162415,111.092827
97,0,-41.336346,-68.335373,918.289490,-154.249878,-25.798597,103.691345,32.763348,-517.858582,109.108376
98,0,-39.452621,-69.264893,919.206848,-154.429108,-20.348734,103.916359,32.422867,-509.515930,107.984497
99,0,-37.646317,-70.058876,920.327271,-154.498764,-15.554808,103.920403,32.544254,-500.444824,107.419716
100,0,-35.850128,-70.696953,921.555969,-154.451614,-11.389395,103.611153,32.901558,-490.922180,107.156578
101,0,-33.998169,-71.157539,922.822144,-154.314163,-7.781458,102.976036,33.341351,-481.129211,107.035965
102,0,-32.041290,-71.417717,924.092407,-154.140900,-4.640005,102.120003,33.784515,-471.179291,106.978012
103,0,-29.953236,-71.456345,925.373413,-154.000580,-1.889954,101.269920,34.202816,-461.149811,106.949570
104,0,-27.729771,-71.255989,926.699280,-153.946640,0.484116,100.751289,34.594288,-451.091248,106.940193
105,0,-25.383045,-70.802277,928.110046,-153.984039,2.425246,100.916466,34.964199,-441.029236,106.944916
106,0,-22.940313,-70.082527,929.628906,-154.072205,3.823892,102.046165,35.315247,-430.972198,106.956802
107,0,-20.447924,-69.087463,931.244873,-154.166901,4.516387,104.304604,35.645985,-420.925446,106.967659
108,0,-17.968279,-67.814301,932.908020,-154.244141,4.256420,107.762634,35.953667,-410.901520,106.972954
109,0,-15.566846,-66.269241,934.538513,-154.266571,2.714439,112.416435,36.234333,-400.916534,106.976212
110,0,-13.301214,-64.470665,936.048523,-154.120926,-0.443196,118.135712,36.478325,-390.974670,106.986153
111,0,-11.220754,-62.449844,937.367310,-153.604538,-5.404893,124.556580,36.671593,-381.061035,107.005898
112,0,-9.367396,-60.244823,938.463501,-152.522583,-12.108712,131.061707,36.805550,-371.151886,107.023537
113,0,-7.768074,-57.891167,939.354309,-150.826416,-20.292179,136.961929,36.882977,-361.231445,107.018784
114,0,-6.430276,-55.416813,940.094788,-148.641953,-29.642576,141.750931,36.917274,-351.301941,106.981514
115,0,-5.347143,-52.842491,940.751953,-146.167465,-39.916595,145.219772,36.934746,-341.376312,106.921371
116,0,-4.503205,-50.184002,941.381042,-143.570480,-50.992908,147.407898,36.974209,-331.461334,106.866684
117,0,-3.880015,-47.453281,942.010437,-140.957016,-62.863796,148.489746,37.066372,-321.551361,106.855888
118,0,-3.463101,-44.659710,942.637207,-138.371384,-75.561714,148.665955,37.205109,-311.637085,106.910133
119,0,-3.242567,-41.813400,943.230469,-135.817123,-89.084145,148.101074,37.352135,-301.715729,107.011833
120,0,-3.206141,-38.928501,943.746216,-133.325836,-103.395622,146.924515,37.472912,-291.787476,107.122726
121,0,-3.334085,-36.024231,944.147644,-131.011459,-118.466644,145.255920,37.554184,-281.846771,107.212303
122,0,-3.601005,-33.123363,944.425110,-129.031189,-134.268860,143.205490,37.593868,-271.884308,107.265724
123,0,-3.980395,-30.249218,944.601746,-127.502876,-150.755859,140.852051,37.594173,-261.900330,107.285164
124,0,-4.448430,-27.422667,944.721191,-126.473618,-167.872086,138.232971,37.563114,-251.914047,107.289787
125,0,-4.987158,-24.661104,944.826965,-125.951248,-185.556076,135.359085,37.509251,-241.952744,107.299583
126,0,-5.584845,-21.979460,944.949402,-125.945747,-203.736618,132.250580,37.432720,-232.026749,107.307907
127,0,-6.231984,-19.390984,945.098572,-126.479805,-222.354797,128.976151,37.330883,-222.117599,107.278046
128,0,-6.918194,-16.906630,945.259766,-127.577095,-241.378006,125.667351,37.213310,-212.194778,107.182022
129,0,-7.635646,-14.534964,945.397522,-129.250839,-260.776184,122.497620,37.098122,-202.244064,107.036896
130,0,-8.383649,-12.283792,945.469177,-131.495499,-280.496582,119.650146,36.994865,-192.277969,106.886139
131,0,-9.166209,-10.161240,945.439209,-134.275787,-300.459686,117.303650,36.901711,-182.320480,106.755310
132,0,-9.988555,-8.174691,945.284119,-137.506790,-320.562256,115.640862,36.811802,-172.384277,106.645103
133,0,-10.857936,-6.329813,944.990723,-141.037354,-340.670685,114.864571,36.716824,-162.461212,106.559334
134,0,-11.781699,-4.631416,944.549500,-144.660568,-360.598877,115.195435,36.618412,-152.530304,106.517807
135,0,-12.763151,-3.083280,943.948364,-148.152542,-380.088837,116.828735,36.537731,-142.580093,106.533524
136,0,-13.804282,-1.685415,943.168274,-151.318207,-398.811584,119.861946,36.490807,-132.626648,106.581787
137,0,-14.912475,-0.432928,942.185730,-154.019867,-416.386200,124.233406,36.459385,-122.702904,106.602493
138,0,-16.103502,0.682711,940.983276,-156.177521,-432.413086,129.698349,36.411579,-112.836700,106.545219
139,0,-17.401875,1.672786,939.563721,-157.746780,-446.518097,135.839142,36.336456,-103.046997,106.407837
140,0,-18.836964,2.550835,937.959778,-158.695312,-458.388641,142.097290,36.245182,-93.344406,106.221107
141,0,-20.429447,3.331378,936.235046,-158.995667,-467.781860,147.828171,36.158981,-83.725311,106.009949
142,0,-22.173021,4.026411,934.473816,-158.625763,-474.513550,152.379776,36.104965,-74.170158,105.778458
143,0,-24.025558,4.639414,932.763428,-157.555634,-478.475525,155.188950,36.115032,-64.659042,105.523346
144,0,-25.916389,5.159355,931.175659,-155.730499,-479.730804,155.888550,36.224777,-55.201244,105.259064
145,0,-27.764536,5.558680,929.749756,-153.097198,-478.649200,154.410416,36.469254,-45.837345,105.014961
146,0,-29.501980,5.799048,928.484131,-149.704666,-475.946777,151.032211,36.871891,-36.610573,104.803009
147,0,-31.094683,5.844265,927.346191,-145.822906,-472.506866,146.295120,37.434040,-27.558823,104.609077
148,0,-32.551285,5.672958,926.298584,-141.943604,-469.032440,140.794922,38.135593,-18.733135,104.417252
149,0,-33.915115,5.282262,925.327209,-138.605438,-465.784760,134.994720,38.941788,-10.202330,104.226952
150,0,-35.244591,4.682137,924.450500,-136.176041,-462.597290,129.211121,39.802143,-2.030840,104.042969
151,0,-36.593739,3.889377,923.711731,-134.746140,-459.081665,123.720108,40.653839,5.739647,103.857147
152,0,-38.001888,2.928688,923.165222,-134.156479,-454.842010,118.808617,41.446899,13.083447,103.639076
153,0,-39.490490,1.837899,922.866943,-134.096100,-449.595032,114.731567,42.160896,19.980742,103.331146
154,0,-41.060684,0.669832,922.867737,-134.232361,-443.203918,111.646553,42.785328,26.409897,102.861832
155,0,-42.693638,-0.511212,923.204956,-134.346542,-435.688019,109.559891,43.294827,32.333099,102.183472
156,0,-44.358582,-1.636090,923.889709,-134.396057,-427.220673,108.309166,43.661015,37.701939,101.299179
157,0,-46.025242,-2.639882,924.891052,-134.448196,-418.067963,107.631721,43.891678,42.478916,100.266342
158,0,-47.675049,-3.471340,926.127930,-134.563110,-408.486908,107.281395,44.051266,46.628372,99.205528
159,0,-49.307468,-4.096054,927.477966,-134.739700,-398.668610,107.092911,44.228180,50.100830,98.300987
160,0,-50.940552,-4.490822,928.805420,-134.937836,-388.740662,106.974258,44.468403,52.859085,97.756149
161,0,-52.605614,-4.635935,929.999756,-135.117538,-378.777863,106.877861,44.755581,54.903587,97.729584
162,0,-54.333614,-4.511964,931.006470,-135.256912,-368.807343,106.781891,45.066944,56.258560,98.293762
163,0,-56.135986,-4.102052,931.838013,-135.355133,-358.822693,106.682373,45.417736,56.954571,99.428665
164,0,-57.993202,-3.396871,932.562927,-135.427383,-348.810638,106.588211,45.837818,57.008774,101.071518
165,0,-59.859512,-2.398656,933.274963,-135.490173,-338.773010,106.513397,46.331821,56.361248,103.224159
166,0,-61.677433,-1.123287,934.053223,-135.547989,-328.726959,106.466438,46.867165,54.768959,106.040726
167,0,-63.391529,0.399259,934.931519,-135.592239,-318.690186,106.443398,47.372334,51.740467,109.787163
168,0,-64.958397,2.127252,935.892212,-135.610474,-308.668152,106.433861,47.732464,46.661953,114.641891
169,0,-66.352455,4.014153,936.882507,-135.607391,-298.641602,106.435768,47.800865,39.115086,120.445984
170,0,-67.564964,6.019883,937.841919,-135.611435,-288.572510,106.460403,47.438084,29.116695,126.626030
171,0,-68.598129,8.117838,938.726624,-135.643433,-278.444000,106.520027,46.566830,17.072891,132.413025
172,0,-69.459641,10.289864,939.524414,-135.691360,-268.283234,106.610970,45.206123,3.549015,137.178879
173,0,-70.159943,12.517351,940.252930,-135.725479,-258.135773,106.709488,43.463779,-10.946371,140.624039
174,0,-70.710007,14.778248,940.944763,-135.724365,-248.032852,106.786568,41.514771,-26.088709,142.760773
175,0,-71.115150,17.049433,941.627441,-135.682816,-237.985016,106.827629,39.573017,-41.753719,143.787766
176,0,-71.371040,19.311207,942.307922,-135.598892,-227.992828,106.836983,37.840729,-57.940144,143.952194
177,0,-71.468552,21.550123,942.969543,-135.465073,-218.054504,106.829140,36.458157,-74.700539,143.457092
178,0,-71.402596,23.757101,943.579834,-135.290314,-208.150375,106.818634,35.478546,-92.097725,142.422409
179,0,-71.178764,25.921097,944.106506,-135.117416,-198.233627,106.811089,34.880058,-110.152672,140.893692
180,0,-70.814415,28.024963,944.532227,-134.988083,-188.268341,106.800484,34.610241,-128.832809,138.899551
181,0,-70.330200,30.050920,944.858459,-134.898697,-178.271606,106.776970,34.618767,-148.079376,136.515732
182,0,-69.741318,31.987906,945.097290,-134.813141,-168.293030,106.739044,34.861603,-167.832001,133.876099
183,0,-69.061119,33.828674,945.259155,-134.708221,-158.361023,106.694618,35.311256,-188.052017,131.136047
184,0,-68.308823,35.563358,945.344727,-134.585892,-148.468338,106.649574,35.979053,-208.724869,128.438187
185,0,-67.505852,37.180164,945.341431,-134.456406,-138.597717,106.600632,36.916439,-229.829254,125.897156
186,0,-66.664886,38.667519,945.223206,-134.329193,-128.747086,106.537422,38.182369,-251.309387,123.606575
187,0,-65.783516,40.011726,944.958984,-134.212936,-118.935326,106.446518,39.799625,-273.070648,121.669579
188,0,-64.847130,41.196648,944.526001,-134.111298,-109.181259,106.317635,41.726757,-294.981750,120.228493
189,0,-63.836246,42.208813,943.919800,-134.018646,-99.475670,106.151764,43.849903,-316.863586,119.467216
190,0,-62.730885,43.041759,943.149536,-133.929276,-89.785927,105.962074,45.988010,-338.467285,119.582901
191,0,-61.511642,43.696514,942.226440,-133.847290,-80.088486,105.764931,47.917969,-359.470184,120.749825
192,0,-60.160892,44.180626,941.151428,-133.777618,-70.385704,105.571625,49.426762,-379.497162,123.079948
193,0,-58.662201,44.505714,939.909973,-133.715775,-60.700123,105.384537,50.372807,-398.140686,126.566277
194,0,-56.999790,44.683250,938.476990,-133.651215,-51.062393,105.196800,50.718582,-414.976074,131.033188
195,0,-55.162640,44.720818,936.830811,-133.572876,-41.497223,104.996986,50.518482,-429.587158,136.131241
196,0,-53.150532,44.620922,934.969360,-133.471680,-32.013824,104.776726,49.892666,-441.616272,141.373779
197,0,-50.979004,44.383877,932.919617,-133.345200,-22.607565,104.536133,49.015926,-450.827789,146.190689
198,0,-48.684952,44.014576,930.738770,-133.205536,-13.272696,104.283813,48.113232,-457.149567,149.986633
199,0,-46.329216,43.527992,928.505981,-133.082703,-4.019439,104.033897,47.447628,-460.671844,152.201157
200,0,-43.987679,42.945004,926.304504,-133.015625,5.119473,103.802963,47.275192,-461.630249,152.389664
201,0,-41.731762,42.278702,924.202026,-133.035049,14.101614,103.606834,47.734058,-460.415649,150.355286
202,0,-39.608513,41.524345,922.239441,-133.151917,22.894077,103.458549,48.718006,-457.593536,146.296371
203,0,-37.628227,40.665607,920.438538,-133.357544,31.478003,103.370445,49.860565,-453.844025,140.819031
204,0,-35.764942,39.691422,918.822815,-133.636475,39.832653,103.357162,50.674541,-449.774567,134.711090
205,0,-33.975006,38.607689,917.440613,-133.983231,47.913116,103.432022,50.763462,-445.703461,128.642303
206,0,-32.225975,37.437202,916.371155,-134.398956,55.646950,103.594978,50.003212,-441.580566,123.053459
207,0,-30.509659,36.212608,915.704163,-134.866211,62.956551,103.819366,48.619667,-437.090881,118.227554
208,0,-28.828415,34.968590,915.501709,-135.336533,69.778152,104.046730,47.089310,-431.840973,114.356506
209,0,-27.176622,33.736725,915.765320,-135.747467,76.057930,104.192986,45.875282,-425.533356,111.530937
210,0,-25.537186,32.545097,916.431091,-136.042786,81.739777,104.165642,45.190922,-418.092957,109.697052
211,0,-23.888348,31.422649,917.390198,-136.182816,86.766647,103.884857,44.982674,-409.690155,108.652145
212,0,-22.206951,30.404310,918.523315,-136.157578,91.106232,103.301201,45.081909,-400.621399,108.120079
213,0,-20.465923,29.532438,919.731812,-136.005997,94.774002,102.427452,45.338970,-391.152130,107.853729
214,0,-18.635708,28.853367,920.957886,-135.820190,97.828117,101.377373,45.663582,-381.452911,107.690338
215,0,-16.695322,28.411198,922.187500,-135.715469,100.347519,100.367065,46.014919,-371.622345,107.550278
216,0,-14.643338,28.242962,923.439270,-135.783981,102.395340,99.673950,46.381737,-361.719482,107.406502
217,0,-12.495702,28.376682,924.743652,-136.063507,103.983765,99.565994,46.762024,-351.779083,107.259407
218,0,-10.277068,28.829117,926.123108,-136.537659,105.068062,100.217979,47.146458,-341.819000,107.130920
219,0,-8.020545,29.603975,927.577209,-137.166916,105.541153,101.683968,47.512329,-331.846039,107.054390
220,0,-5.771909,30.693045,929.076904,-137.908554,105.204094,103.966637,47.829666,-321.861084,107.049438
221,0,-3.587224,32.077305,930.567688,-138.685715,103.744408,107.106430,48.074409,-311.862457,107.104698
222,0,-1.524831,33.727257,931.981567,-139.336426,100.752441,111.186043,48.239895,-301.848938,107.182182
