Trajectories
100
,,HW3-009:PELVIS_T,,,HW3-009:R_Foot_T,,,HW3-009:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,32.573112,-322.595215,945.627625,-39.579163,-289.886139,158.685364,89.537834,-582.562439,101.223007
2,0,33.371273,-321.218170,940.103821,-38.910030,-302.722656,158.403946,89.670250,-570.139160,100.826759
3,0,34.242867,-319.619415,934.494690,-37.878956,-320.630707,157.447632,89.984856,-553.435913,100.352524
4,0,34.956074,-318.115509,930.573425,-36.647007,-342.090454,155.643143,90.518372,-534.291931,99.888321
5,0,35.360119,-316.914520,929.359314,-35.437698,-365.591644,153.035065,91.263992,-514.331787,99.509155
6,0,35.441807,-316.071259,930.766541,-34.399403,-390.096008,149.827499,92.194511,-494.454224,99.267349
7,0,35.309475,-315.533752,933.919556,-33.549644,-415.008087,146.260941,93.278282,-474.954987,99.196159
8,0,35.141434,-315.200562,937.694275,-32.808228,-440.067932,142.528275,94.479385,-455.819275,99.307175
9,0,35.110886,-314.972198,941.177368,-32.076977,-465.256958,138.793961,95.769806,-436.953156,99.584755
10,0,35.305984,-314.798218,943.919800,-31.312704,-490.661804,135.247971,97.126915,-418.328613,99.993896
11,0,35.686531,-314.705292,945.976746,-30.533789,-516.345093,132.076080,98.510330,-400.034790,100.493950
12,0,36.113190,-314.790192,947.786682,-29.764334,-542.303955,129.385010,99.872032,-382.220306,101.037811
13,0,36.430462,-315.182465,949.961853,-28.995848,-568.487427,127.209557,101.188148,-365.030457,101.555801
14,0,36.536877,-315.996246,953.061768,-28.203665,-594.794556,125.583961,102.468201,-348.606934,101.942825
15,0,36.401875,-317.291992,957.415161,-27.372860,-621.055908,124.564148,103.744942,-333.081055,102.077866
16,0,36.043900,-319.061462,963.044312,-26.497902,-647.026428,124.192299,105.064178,-318.527924,101.872459
17,0,35.499161,-321.237000,969.700745,-25.573421,-672.358093,124.492378,106.479691,-304.920135,101.307976
18,0,34.795105,-323.712036,976.967896,-24.596325,-696.545959,125.518951,108.041687,-292.115173,100.443390
19,0,33.938637,-326.354858,984.371643,-23.562153,-718.926758,127.363533,109.779800,-279.898987,99.399002
20,0,32.925766,-329.018799,991.464966,-22.442142,-738.786865,130.044479,111.706474,-268.070526,98.333755
21,0,31.754295,-331.556885,997.875732,-21.172653,-755.530884,133.341263,113.847252,-256.498016,97.444260
22,0,30.425919,-333.839661,1003.320679,-19.693235,-768.799194,136.704422,116.257439,-245.123657,96.955734
23,0,28.952326,-335.772827,1007.596741,-18.015148,-778.450134,139.321472,118.997665,-233.974548,97.041092
24,0,27.366236,-337.312378,1010.569336,-16.241594,-784.451904,140.315811,122.095970,-223.203110,97.720840
25,0,25.723232,-338.468750,1012.157227,-14.474700,-786.791016,138.987045,125.515076,-213.102798,98.875160
26,0,24.090141,-339.298431,1012.323242,-12.659206,-785.438354,135.032669,129.131577,-204.055771,100.378998
27,0,22.525301,-339.886475,1011.073242,-10.488916,-780.332092,128.741837,132.752014,-196.477432,102.245857
28,0,21.065664,-340.325043,1008.449341,-7.455361,-771.356018,121.102150,136.165298,-190.839417,104.686462
29,0,19.728075,-340.691071,1004.519958,-3.100276,-758.378662,113.642960,139.196320,-187.687180,108.018005
30,0,18.515999,-341.028076,999.366394,2.548169,-741.487366,107.849075,141.732132,-187.521515,112.426300
31,0,17.425592,-341.329224,993.071228,8.744535,-721.374146,104.379913,143.719940,-190.604599,117.772110
32,0,16.453398,-341.524750,985.712891,14.411455,-699.412598,102.809853,145.168594,-196.879333,123.637558
33,0,15.606394,-341.480774,977.375793,18.811649,-677.089417,102.194267,146.162918,-206.068497,129.546570
34,0,14.911913,-341.017517,968.179932,21.826057,-655.313354,101.800079,146.846191,-217.830734,135.155716
35,0,14.425396,-339.954926,958.337708,23.736929,-634.323547,101.331955,147.347839,-231.844162,140.301697
36,0,14.222979,-338.195984,948.258728,24.892939,-614.049988,100.764915,147.719513,-247.823181,144.917450
37,0,14.361917,-335.818115,938.671143,25.533560,-594.367310,100.166519,147.946854,-265.538757,148.923935
38,0,14.826032,-333.086060,930.629150,25.789970,-575.124207,99.619011,147.999771,-284.822510,152.194168
39,0,15.499712,-330.339264,925.234009,25.756937,-556.131165,99.188965,147.856949,-305.504791,154.582199
40,0,16.198994,-327.840820,923.134399,25.542418,-537.201660,98.918633,147.515427,-327.350372,155.966751
41,0,16.747116,-325.712158,924.179443,25.265850,-518.217712,98.829185,146.994629,-350.076202,156.296341
42,0,17.032902,-323.968719,927.503967,25.036762,-499.152222,98.921509,146.327377,-373.446320,155.626221
43,0,17.001921,-322.580994,931.942017,24.937325,-480.028900,99.171806,145.556717,-397.359497,154.116562
44,0,16.612818,-321.503448,936.482300,25.002028,-460.878632,99.538864,144.738953,-421.818054,151.986282
45,0,15.829248,-320.676270,940.560486,25.207001,-441.754120,99.982819,143.938507,-446.805756,149.462982
46,0,14.662827,-320.032928,944.114929,25.480219,-422.786346,100.476074,143.208908,-472.259644,146.756332
47,0,13.212604,-319.536652,947.441956,25.710649,-404.211395,100.998505,142.562912,-498.154388,144.034592
48,0,11.642375,-319.233429,950.965881,25.755333,-386.329010,101.517792,141.954025,-524.529602,141.406204
