,,HW3001:PELVIS_T,,,HW3001:R_Foot_T,,,HW3001:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
57,0,-93.926811,-67.618423,1153.650757,-175.960785,-267.16925,93.511208,90.084465,-349.950714,124.660439
58,0,-93.527046,-67.564331,1153.663452,-175.999741,-262.339569,93.678619,92.000313,-365.966095,122.505913
59,0,-93.102142,-67.601967,1153.661987,-175.89064,-257.257355,93.602097,93.844864,-381.800568,121.210518
60,0,-92.549744,-67.711861,1153.594482,-175.748764,-252.095108,93.500099,95.580872,-397.334167,120.727058
61,0,-91.952438,-67.903793,1153.453125,-175.702682,-247.142731,93.657196,97.132896,-412.465454,120.931892
62,0,-91.260124,-68.183441,1153.246338,-175.618057,-241.801453,93.601868,98.401894,-427.089203,121.732643
63,0,-90.472572,-68.546432,1152.94458,-175.427994,-237.185989,93.70298,99.316887,-441.082275,123.056068
64,0,-89.596222,-68.931229,1152.614014,-175.198181,-232.266968,93.699631,99.870728,-454.318359,124.786743
65,0,-88.627815,-69.35257,1152.194946,-175.005585,-227.267288,93.580353,100.108505,-466.693207,126.754539
66,0,-87.61235,-69.899384,1151.746094,-174.995529,-222.36618,93.724258,100.097275,-478.138397,128.773926
67,0,-86.52742,-70.520592,1151.163818,-174.819763,-217.192154,93.608459,99.903572,-488.609131,130.689484
68,0,-85.422897,-71.217651,1150.569702,-174.853165,-212.257324,93.609711,99.586418,-498.042175,132.397964
69,0,-84.130066,-72.011353,1149.950317,-174.634766,-207.288879,93.537178,99.193466,-506.340515,133.84166
70,0,-82.779602,-72.815933,1149.338501,-174.517075,-202.376053,93.507957,98.727837,-513.417419,134.982056
71,0,-81.309608,-73.708618,1148.658691,-174.429749,-197.499374,93.479828,98.141243,-519.22345,135.774643
72,0,-79.649284,-74.670776,1148.021362,-174.251648,-192.609283,93.502625,97.385475,-523.718933,136.170135
73,0,-77.968735,-75.706062,1147.419556,-174.131943,-187.800446,93.465218,96.393112,-526.862122,136.121368
74,0,-76.094704,-76.867462,1146.789429,-173.931671,-183.066208,93.473801,95.007919,-528.631531,135.546631
75,0,-74.153625,-78.044022,1146.185791,-173.742661,-178.297943,93.401222,93.050011,-529.036804,134.283127
