Trajectories,,,,,,,,,,
100,,,,,,,,,,
,,HW3-003:PELVIS_T,,,HW3-003:R_Foot_T,,,HW3-003:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,24.684061,137.673981,1022.49884,,,,147.087173,69.401001,156.532608
2,0,24.850304,138.150009,1022.910217,-14.012097,-119.619743,112.288643,146.292587,60.455544,155.921921
3,0,25.107807,138.86264,1023.482788,-14.224264,-113.282181,112.369194,145.289841,47.135834,154.952209
4,0,25.447489,139.767807,1024.145386,-14.43933,-105.157074,112.447998,144.309799,30.354837,153.666092
5,0,25.852057,140.80043,1024.812866,-14.606723,-96.141212,112.513268,143.61113,11.420497,152.153778
6,0,26.304419,141.901459,1025.417847,-14.709235,-86.716438,112.573761,143.388794,-8.526817,150.492615
7,0,26.791782,143.028793,1025.921387,-14.7519,-76.985641,112.639839,143.725769,-28.768946,148.703018
8,0,27.306593,144.156708,1026.309448,-14.738349,-66.999893,112.702713,144.592102,-49.007561,146.748047
9,0,27.84594,145.270187,1026.582886,-14.662727,-56.875019,112.737335,145.878876,-69.227119,144.572845
10,0,28.410347,146.358673,1026.746216,-14.514462,-46.743465,112.717499,147.44574,-89.540276,142.153641
11,0,29.002201,147.411575,1026.804321,-14.285769,-36.695206,112.624725,149.163956,-110.079674,139.527985
12,0,29.624445,148.415833,1026.760498,-13.977307,-26.753904,112.449364,150.945023,-130.945786,136.797684
13,0,30.280396,149.355469,1026.619629,-13.601697,-16.888803,112.192474,152.750687,-152.192459,134.112259
14,0,30.974934,150.212296,1026.38916,-13.18556,-7.050502,111.872322,154.583801,-173.830307,131.644012
15,0,31.715914,150.967651,1026.076172,-12.767837,2.792833,111.528412,156.463623,-195.834183,129.563568
16,0,32.514236,151.604477,1025.684082,-12.389472,12.643914,111.212555,158.395111,-218.144684,128.025696
17,0,33.382099,152.108948,1025.207275,-12.075331,22.491634,110.966469,160.344376,-240.656052,127.171577
18,0,34.330853,152.471542,1024.630249,-11.820956,32.327484,110.801376,162.231598,-263.189331,127.146599
19,0,35.370262,152.686813,1023.928528,-11.598376,42.140007,110.697723,163.945877,-285.459106,128.120285
20,0,36.509586,152.752625,1023.075195,-11.379343,51.895878,110.624741,165.377563,-307.052094,130.285263
21,0,37.759453,152.669525,1022.047546,-11.156884,61.536663,110.560242,166.452774,-327.435638,133.814392
22,0,39.132404,152.441879,1020.8349,-10.94755,71.003372,110.493378,167.153214,-346.006897,138.773773
23,0,40.640736,152.080002,1019.447083,-10.775002,80.271385,110.413521,167.511169,-362.176788,145.017303
24,0,42.291264,151.601425,1017.917725,-10.650827,89.369492,110.30146,167.583481,-375.466736,152.109528
25,0,44.078236,151.028244,1016.301758,-10.568034,98.370628,110.134834,167.418579,-385.594055,159.322449
26,0,45.977028,150.380951,1014.664917,-10.512512,107.35585,109.906807,167.034012,-392.527405,165.730438
27,0,47.942657,149.67099,1013.06665,-10.485852,116.363121,109.645538,166.411911,-396.502319,170.393066
28,0,49.916374,148.896454,1011.543518,-10.523242,125.346634,109.417915,165.508499,-397.988068,172.580734
29,0,51.840687,148.042328,1010.09967,-10.688585,134.178299,109.307968,164.270142,-397.597382,171.971237
30,0,53.678467,147.083908,1008.711792,-11.041935,142.702789,109.377663,162.654846,-395.951141,168.739471
31,0,55.428036,145.991928,1007.348755,-11.597793,150.81601,109.632195,160.660248,-393.542908,163.49086
32,0,57.126308,144.73645,1005.996338,-12.306263,158.510529,110.012444,158.353058,-390.660065,157.056488
33,0,58.837273,143.290604,1004.67572,-13.074166,165.853683,110.420639,155.884399,-387.393219,150.241455
34,0,60.629765,141.634674,1003.447266,-13.810844,172.916733,110.762848,153.474686,-383.706726,143.643967
35,0,62.553501,139.762695,1002.399109,-14.466392,179.70787,110.982224,151.363556,-379.515228,137.610275
36,0,64.621918,137.689972,1001.625305,-15.041862,186.148682,111.067406,149.741028,-374.726654,132.300842
37,0,66.806908,135.45752,1001.206665,-15.573596,192.100174,111.03894,148.692947,-369.254608,127.787605
38,0,69.045204,133.129791,1001.194336,-16.106644,197.416199,110.928192,148.189545,-363.025482,124.114204
39,0,71.253151,130.785156,1001.603821,-16.672718,201.995911,110.765022,148.122574,-355.996063,121.299515
40,0,73.345917,128.501907,1002.413147,-17.281523,205.810089,110.583626,148.366394,-348.177795,119.309731
41,0,75.257584,126.346558,1003.565186,-17.925159,208.891602,110.441917,148.822647,-339.649841,118.037865
42,0,76.958427,124.368187,1004.973267,-18.589464,211.295731,110.436302,149.42421,-330.550964,117.314163
