Trajectories
100
,,HW3-009:PELVIS_T,,,HW3-009:R_Foot_T,,,HW3-009:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-12.662947,37.624611,952.049561,-39.190914,11.109000,106.605347,108.353668,-468.536194,173.209625
2,0,-11.376966,37.370975,949.699463,-38.852875,19.956667,106.567451,108.463882,-477.470490,177.625061
3,0,-9.557224,36.959229,946.635803,-38.545845,31.809021,106.534210,108.619385,-488.056366,182.709579
4,0,-7.370891,36.394138,943.294678,-38.432678,45.293747,106.516441,108.771988,-498.100861,187.136703
5,0,-5.030352,35.686829,940.074646,-38.635368,59.180431,106.520981,108.836342,-505.830231,189.703354
6,0,-2.737680,34.815128,937.200623,-39.203094,72.749992,106.550346,108.699265,-510.337830,189.679932
7,0,-0.645471,33.688625,934.706726,-40.128357,85.709137,106.599312,108.258743,-511.493439,186.902557
8,0,1.171310,32.175381,932.487549,-41.365192,97.989830,106.648781,107.483871,-509.733856,181.732895
9,0,2.713238,30.198418,930.391846,-42.841988,109.591301,106.660095,106.409050,-505.888702,174.905472
10,0,4.039639,27.789028,928.313599,-44.480354,120.502762,106.569885,105.031288,-501.003448,167.245865
11,0,5.256267,25.037193,926.245483,-46.212902,130.693970,106.283745,103.226776,-496.073364,159.365158
12,0,6.491949,22.029356,924.302490,-47.983067,140.137283,105.674026,100.832458,-491.702301,151.559860
13,0,7.855464,18.836481,922.714294,-49.728992,148.819412,104.597946,97.863068,-487.848419,143.968948
14,0,9.393864,15.529921,921.774658,-51.383888,156.733124,102.951912,94.635201,-483.892944,136.765457
15,0,11.078035,12.202244,921.751099,-52.913223,163.884048,100.753632,91.643295,-479.065338,130.185364
16,0,12.822433,8.977583,922.775391,-54.349934,170.291168,98.228401,89.296234,-472.851379,124.435883
17,0,14.518514,6.000312,924.768433,-55.795685,175.909210,95.859055,87.707680,-465.069733,119.634941
18,0,16.056593,3.413205,927.440186,-57.416939,180.533249,94.312073,86.663391,-455.749084,115.824608
19,0,17.339100,1.342031,930.364136,-59.428432,183.797714,94.203766,85.814705,-445.031311,112.978584
20,0,18.302738,-0.115205,933.097107,-62.016357,185.247238,95.849510,84.956383,-433.132843,110.976250
21,0,18.942970,-0.904981,935.303833,-65.231018,184.407318,99.206345,84.123566,-420.306824,109.617477
22,0,19.318848,-1.037605,936.846069,-68.927643,180.829147,104.032074,83.457283,-406.787476,108.701256
23,0,19.534765,-0.595855,937.811951,-72.764801,174.133987,110.019173,83.039818,-392.764984,108.086014
24,0,19.709997,0.270391,938.473816,-76.239449,164.116730,116.713234,82.854988,-378.396729,107.685616
25,0,19.949205,1.368088,939.198303,-78.801285,150.862427,123.419830,82.841599,-363.808319,107.443344
26,0,20.324923,2.515001,940.361084,-80.055855,134.739502,129.378891,82.946297,-349.083893,107.319145
27,0,20.869772,3.585879,942.275635,-79.936333,116.262871,134.080978,83.139091,-334.270233,107.286133
28,0,21.570063,4.506445,945.113831,-78.719070,95.936775,137.409241,83.406151,-319.385406,107.327179
29,0,22.362005,5.240075,948.842590,-76.877800,74.159149,139.535645,83.739983,-304.423981,107.431343
30,0,23.144880,5.803638,953.223938,-74.880486,51.205643,140.737167,84.131653,-289.372894,107.590988
31,0,23.818174,6.272182,957.885193,-73.053024,27.261572,141.268387,84.558662,-274.242950,107.796288
32,0,24.316671,6.751845,962.424133,-71.549248,2.468174,141.296280,84.973045,-259.093719,108.029068
33,0,24.615044,7.341854,966.505615,-70.389870,-23.032351,140.882584,85.311974,-244.017242,108.266106
34,0,24.710567,8.105001,969.917847,-69.529808,-49.094608,140.014130,85.537560,-229.078720,108.487968
35,0,24.607620,9.057743,972.586243,-68.922287,-75.618431,138.652664,85.661263,-214.273697,108.672302
36,0,24.309877,10.179029,974.546753,-68.558372,-102.562874,136.792099,85.720352,-199.555466,108.788681
37,0,23.817301,11.426559,975.893311,-68.472954,-129.883698,134.524200,85.750282,-184.885056,108.824287
38,0,23.132986,12.751186,976.723389,-68.707550,-157.485748,132.066208,85.787254,-170.234299,108.805267
39,0,22.278046,14.105071,977.107910,-69.258774,-185.266846,129.723007,85.865433,-155.578064,108.771156
40,0,21.293491,15.444750,977.087341,-70.074837,-213.177902,127.813667,85.997772,-140.913132,108.730965
41,0,20.223228,16.733934,976.682007,-71.096825,-241.197952,126.603874,86.173943,-126.264778,108.657234
42,0,19.100721,17.946838,975.908752,-72.280602,-269.254700,126.298088,86.369629,-111.657661,108.526299
43,0,17.946163,19.070238,974.793640,-73.589050,-297.165100,127.086151,86.554428,-97.083572,108.353134
44,0,16.765383,20.103891,973.369568,-74.995071,-324.615326,129.157669,86.709358,-82.507889,108.177162
45,0,15.549441,21.057150,971.659790,-76.487000,-351.182770,132.647171,86.837975,-67.910255,108.029297
46,0,14.273378,21.940851,969.663757,-78.038277,-376.405151,137.553452,86.958710,-53.311783,107.925468
47,0,12.896881,22.758924,967.355835,-79.568054,-399.871155,143.694336,87.095329,-38.764690,107.876373
48,0,11.374087,23.503145,964.700378,-80.946930,-421.281616,150.727310,87.275146,-24.323040,107.884850
49,0,9.669987,24.152254,961.678772,-82.046913,-440.442444,158.197769,87.531128,-10.025913,107.937080
50,0,7.771333,24.676895,958.316467,-82.802856,-457.195282,165.570023,87.898193,4.104250,108.013206
51,0,5.686608,25.046583,954.700134,-83.240852,-471.350006,172.250320,88.400887,18.060137,108.105644
52,0,3.445538,25.230944,950.974365,-83.427795,-482.691986,177.625885,89.049675,31.836100,108.218918
53,0,1.098214,25.195253,947.315491,-83.371933,-491.060822,181.129028,89.853401,45.407494,108.358032
54,0,-1.296713,24.898298,943.884277,-82.976669,-496.430908,182.323807,90.828720,58.724899,108.522209
55,0,-3.685841,24.295782,940.774170,-82.105782,-498.950897,180.995468,91.995369,71.721100,108.702332
56,0,-6.025601,23.348610,937.981995,-80.702316,-498.962311,177.203705,93.363571,84.315483,108.876114
57,0,-8.284112,22.039024,935.420227,-78.846611,-496.995697,171.279022,94.923386,96.414154,108.999580
58,0,-10.447281,20.389294,932.973206,-76.714981,-493.711578,163.775620,96.642387,107.909454,108.997147
59,0,-12.522316,18.464508,930.576721,-74.508141,-489.764191,155.376648,98.465469,118.677544,108.759216
60,0,-14.529907,16.354984,928.276855,-72.414978,-485.579071,146.744583,100.313049,128.583298,108.164886
61,0,-16.492195,14.156330,926.233765,-70.600899,-481.160278,138.412308,102.098343,137.508072,107.148376
62,0,-18.424856,11.963203,924.673706,-69.173096,-476.140076,130.784012,103.773499,145.385254,105.782410
63,0,-20.331285,9.873541,923.808350,-68.120659,-470.044464,124.154762,105.373314,152.211700,104.303482
64,0,-22.199007,7.986805,923.749207,-67.287682,-462.507874,118.701454,107.011696,158.015762,103.059074
65,0,-23.996469,6.393779,924.450439,-66.430992,-453.334198,114.486870,108.813873,162.779617,102.441490
66,0,-25.672915,5.172701,925.709717,-65.364441,-442.524323,111.449692,110.833961,166.359253,102.827896
67,0,-27.175158,4.390735,927.227051,-64.099731,-430.306061,109.389915,113.034599,168.472672,104.475143
68,0,-28.477577,4.095361,928.701477,-62.830978,-417.059937,108.036293,115.334084,168.755508,107.415367
69,0,-29.600492,4.298560,929.934143,-61.763157,-403.159027,107.153366,117.646095,166.802261,111.519272
70,0,-30.604525,4.967887,930.899658,-60.977379,-388.872589,106.579399,119.841911,162.165970,116.709251
71,0,-31.570490,6.027746,931.753967,-60.443302,-374.367126,106.210808,121.677467,154.405411,122.993263
72,0,-32.579994,7.367447,932.776489,-60.096134,-359.739502,105.988342,122.805687,143.253632,130.169037
73,0,-33.700840,8.852945,934.277832,-59.883469,-345.047363,105.884865,122.904022,128.802246,137.596344
74,0,-34.971474,10.344712,936.502747,-59.771980,-330.326569,105.883324,121.826942,111.514206,144.406830
75,0,-36.387825,11.726527,939.558105,-59.735672,-315.601410,105.957344,119.681458,92.058693,149.940170
76,0,-37.902588,12.937028,943.382446,-59.744667,-300.889771,106.073608,116.785461,71.118500,153.986282
77,0,-39.436172,13.987060,947.763123,-59.764957,-286.201080,106.207176,113.540733,49.252628,156.697784
78,0,-40.892094,14.951398,952.393127,-59.762920,-271.538940,106.342880,110.291267,26.823389,158.334930
79,0,-42.172882,15.935843,956.945435,-59.706684,-256.909149,106.466698,107.240906,3.991709,159.082687
80,0,-43.194611,17.036854,961.143799,-59.572384,-242.323883,106.568680,104.451683,-19.223879,159.025238
81,0,-43.897861,18.314764,964.808167,-59.363918,-227.789658,106.658035,101.884697,-42.850750,158.193253
82,0,-44.252979,19.787971,967.861328,-59.120197,-213.280090,106.761909,99.465515,-66.895744,156.622986
83,0,-44.257523,21.440989,970.304810,-58.877213,-198.736221,106.894424,97.155396,-91.334328,154.417694
84,0,-43.928032,23.235941,972.181396,-58.629440,-184.102783,107.036499,94.977814,-116.110207,151.763382
85,0,-43.292580,25.122782,973.543213,-58.346409,-169.346130,107.157478,92.994431,-141.154419,148.883789
86,0,-42.390350,27.049015,974.433350,-58.007801,-154.461777,107.244987,91.267700,-166.434280,145.988708
87,0,-41.275429,28.968534,974.885559,-57.620159,-139.499893,107.313782,89.836052,-191.969162,143.256073
88,0,-40.010994,30.846449,974.928101,-57.219585,-124.545166,107.393044,88.708649,-217.793625,140.844070
89,0,-38.654945,32.660141,974.579651,-56.843899,-109.653954,107.494308,87.874268,-243.899673,138.909332
90,0,-37.251076,34.398674,973.843140,-56.493942,-94.851868,107.591248,87.314415,-270.184723,137.612137
91,0,-35.824848,36.058575,972.707642,-56.141842,-80.178993,107.639221,87.005547,-296.445587,137.119308
92,0,-34.378529,37.636948,971.157898,-55.769581,-65.681282,107.605782,86.913719,-322.421326,137.619873
93,0,-32.889584,39.126965,969.184998,-55.372856,-51.352211,107.479820,86.998421,-347.822906,139.327057
94,0,-31.317289,40.514507,966.799011,-54.936687,-37.110088,107.269699,87.216888,-372.317688,142.429581
95,0,-29.616846,41.774731,964.041260,-54.450520,-22.853151,107.008606,87.515022,-395.514221,147.005753
96,0,-27.753677,42.876236,960.988525,-53.947662,-8.535669,106.748634,87.824081,-416.992310,152.947632
97,0,-25.713511,43.794392,957.748291,-53.493561,5.816535,106.532959,88.077972,-436.366028,159.923080
98,0,-23.503649,44.524776,954.444580,-53.142525,20.138853,106.378754,88.227592,-453.331085,167.380707
99,0,-21.146719,45.085983,951.199829,-52.927036,34.350468,106.281487,88.229469,-467.662994,174.607651
100,0,-18.683077,45.503696,948.115112,-52.876400,48.362705,106.223206,88.019516,-479.178986,180.829575
101,0,-16.183559,45.774380,945.252808,-53.023460,62.098049,106.181755,87.503929,-487.713470,185.315262
