Trajectories
100
,,HW3001:PELVIS_T,,,HW3001:R_Foot_T,,,HW3001:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-50.623512,84.722214,1139.532104,-148.248459,-302.186005,93.970360,100.512764,237.918762,129.747986
2,0,-52.172287,84.536987,1139.851440,-147.843369,-292.500793,93.508858,100.462929,234.302216,134.692307
3,0,-53.680225,84.459328,1140.310669,-148.418396,-282.034851,93.290016,100.351990,227.789719,142.273026
4,0,-54.723175,84.415390,1140.919434,-148.650757,-272.007111,93.175529,100.146866,218.572433,151.290298
5,0,-55.623810,84.430908,1141.664795,-148.989166,-262.032196,93.013901,99.748772,207.242447,160.440506
6,0,-56.389973,84.535683,1142.602051,-149.425705,-251.997299,92.793663,99.071846,194.547424,168.619171
7,0,-56.827473,84.628876,1143.515747,-149.624084,-242.007370,92.630783,98.180382,181.111710,175.120193
8,0,-57.170025,84.895058,1144.327637,-149.719345,-231.915863,92.562660,97.268509,167.250015,179.755692
9,0,-57.478416,85.238358,1145.095825,-150.107132,-221.430038,92.682922,96.500061,152.988586,182.719925
10,0,-57.705227,85.608894,1145.902344,-149.855301,-211.875595,92.517807,95.885422,138.184998,184.355042
11,0,-57.927338,85.991470,1146.719238,-149.945938,-201.983932,92.312233,95.292580,122.655006,184.970428
12,0,-58.111099,86.372650,1147.462036,-149.996628,-192.417282,92.027481,94.566666,106.261131,184.765610
13,0,-58.271797,86.816650,1148.099243,-150.444794,-182.204224,92.126999,93.643990,88.970543,183.837463
14,0,-58.422508,87.305748,1148.601562,-150.413132,-172.204895,92.160385,92.573196,70.862885,182.221146
15,0,-58.581059,87.865845,1149.016602,-150.149551,-162.513977,92.092438,91.461433,51.982094,179.981445
16,0,-58.772579,88.395699,1149.341431,-149.920578,-152.735107,92.023369,90.397476,32.211918,177.280075
17,0,-58.994347,88.937233,1149.588135,-149.738724,-142.880066,92.000359,89.398697,11.517109,174.237350
18,0,-59.254940,89.510468,1149.815552,-149.575317,-132.983368,91.974464,88.446861,-9.875302,170.807251
19,0,-59.517384,90.033203,1149.935059,-149.401749,-123.177101,91.921387,87.575592,-31.724504,166.936096
20,0,-59.764591,90.548836,1150.008911,-149.228745,-113.396301,91.917236,86.869461,-53.902695,162.714172
21,0,-59.956463,91.026672,1150.020508,-149.027328,-103.648384,91.949661,86.394493,-76.373695,158.337418
22,0,-60.039505,91.588898,1150.024414,-148.782379,-93.845848,91.987320,86.193665,-99.250572,154.023056
23,0,-60.048492,92.232124,1150.015869,-148.583038,-84.445045,92.125473,86.327087,-122.620087,149.920319
24,0,-59.973259,92.817810,1149.983765,-148.330032,-74.574097,92.123421,86.847031,-146.326920,146.021484
25,0,-59.819035,93.276535,1149.865112,-148.228470,-64.984016,92.150200,87.712708,-170.088058,142.098251
26,0,-59.611118,93.371307,1149.604736,-148.254333,-55.377171,92.257614,88.802383,-193.762985,137.832123
27,0,-59.298229,93.017456,1149.106689,-147.630432,-45.122910,92.040352,90.062431,-217.421173,133.179749
28,0,-59.027836,93.165573,1148.635742,-147.588303,-35.421741,92.068138,91.542732,-241.142914,128.542099
29,0,-58.636139,93.228287,1148.008545,-147.522293,-25.576096,91.892418,93.248940,-264.855164,124.548210
30,0,-58.205215,93.176712,1147.211304,-147.717560,-15.613791,91.566025,95.081711,-288.324615,121.779327
31,0,-57.754372,93.032211,1146.331543,-147.890991,-5.941751,91.480301,96.926369,-311.216064,120.605019
32,0,-57.218987,92.830368,1145.128540,-147.949295,3.440972,91.710983,98.698814,-333.184692,121.095688
33,0,-56.687267,92.491264,1143.875488,-148.335358,13.350665,91.396469,100.281151,-353.933533,123.061821
34,0,-55.893818,92.052734,1142.464600,-148.564713,23.079165,91.206100,101.458122,-373.207550,126.206665
35,0,-55.054909,91.473480,1140.935913,-148.829132,32.583782,91.121101,101.974815,-390.799713,130.234573
36,0,-54.209793,90.785706,1139.436035,-148.998550,42.108349,91.056053,101.680176,-406.581055,134.846344
37,0,-53.324909,90.045456,1137.883301,-149.426529,51.383617,90.951752,100.580574,-420.492950,139.718719
38,0,-52.239258,89.132492,1136.297241,-150.044601,60.207413,91.102097,98.736237,-432.508057,144.541397
39,0,-51.112793,88.120224,1134.697021,-150.176056,69.565598,90.802452,96.190880,-442.593628,149.047165
40,0,-49.888897,87.068115,1133.100464,-150.470734,78.515297,90.546486,93.073967,-450.686249,152.975708
41,0,-48.621719,85.793228,1131.625610,-150.767044,87.437431,90.537003,89.654663,-456.684937,156.037613
42,0,-47.237320,84.500702,1130.191284,-150.993042,96.314354,90.414398,86.180176,-460.464508,157.916336
43,0,-45.695465,83.035225,1128.823853,-151.167084,105.027840,90.275764,82.714935,-461.927734,158.276596
44,0,-43.818745,81.334305,1127.648438,-151.406311,113.528900,90.145973,79.145866,-461.104034,156.812927
45,0,-41.971561,79.507919,1126.550293,-151.629776,121.864769,89.926636,75.317398,-458.231812,153.414047
