Trajectories
100
,,HW3002:PELVIS_T,,,HW3002:R_Foot_T,,,HW3002:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,60.338120,0.816447,1009.652710,-105.472549,-253.114731,143.621277,118.572731,-170.813171,114.277008
2,0,59.282864,1.332623,1009.318115,-108.520561,-274.419342,139.669540,118.615280,-161.102005,114.241486
3,0,58.306770,1.847201,1008.840210,-112.612129,-295.934174,136.763412,118.767441,-151.211380,114.211693
4,0,57.110806,2.222259,1008.229858,-116.353622,-317.529724,133.807159,119.244415,-140.957474,114.202835
5,0,56.101059,2.496891,1007.459534,-120.284630,-339.101929,131.367126,119.257782,-131.234863,114.205917
6,0,55.051315,2.616348,1006.448853,-124.426727,-360.360962,129.499313,119.167641,-121.637375,113.959175
7,0,53.937267,2.614626,1005.306458,-128.743866,-381.085388,128.382690,119.454384,-112.036636,113.979660
8,0,52.941128,2.438881,1004.128235,-132.990906,-400.753784,128.179993,119.954079,-102.663239,114.067902
9,0,51.601612,2.156531,1002.807129,-136.870544,-418.965820,129.046555,119.863785,-92.844162,114.285667
10,0,50.214859,1.790369,1001.420349,-139.939285,-435.455475,130.757278,120.206017,-83.282066,114.401840
11,0,48.582176,1.178692,999.901367,-141.756271,-450.043549,133.203659,120.642273,-73.782318,114.475929
12,0,46.982140,0.390511,998.197510,-142.137207,-462.396301,136.045471,121.269257,-64.456429,114.606010
13,0,45.102058,-0.609574,996.393066,-141.277222,-472.110962,139.011688,121.994263,-55.376030,114.774620
14,0,42.982319,-1.703307,994.403931,-139.228256,-479.174683,141.277969,122.768524,-46.394394,115.040024
15,0,40.741520,-2.928935,992.522400,-136.304565,-483.584198,142.482040,123.647202,-37.527271,115.305397
16,0,38.191154,-4.139039,990.553467,-131.676987,-486.463959,142.241913,124.611961,-28.865675,115.665596
17,0,35.507320,-5.589062,988.705872,-125.916870,-486.701263,139.285492,125.594124,-20.447138,116.165131
18,0,32.775227,-7.011479,986.950378,-120.379486,-483.898499,133.736328,126.582909,-12.471858,116.451515
