TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ
0,1732596326.0837562,0.00202907994389534,1.664246678352356,0.17691484093666077,0.9960355255463178,-0.08166985029168251,-0.0221312874480948,-0.027449223641243376
1,1732596326.0837562,-0.16377031803131104,0.19657650589942932,0.6219775676727295,0.5810331436779419,-0.39862383700943443,-0.5480488204008285,0.4507126401234576
2,1732596326.0837562,0.0863390639424324,0.17676816880702972,-0.04238224774599075,0.5124599098016724,-0.3038289066820634,-0.7937758021384969,0.12244452574459175
3,1732596326.0837562,-0.12151724100112915,1.4352526664733887,-0.042009301483631134,0.5316291185601143,0.43495277342057015,-0.26031520799408553,0.6785447125976415
5,1732596326.085264,-0.052091434597969055,1.0622471570968628,0.43372049927711487,0.7443656781315146,0.6654108855374957,-0.05575350916917162,0.006289852652522722
0,1732596326.0958257,0.004508873447775841,1.6752667427062988,0.1752333641052246,0.9973799834556588,-0.06167079097164364,-0.02411107513231269,-0.029129230391839723
1,1732596326.0958257,-0.16395731270313263,0.1973186880350113,0.6237555146217346,0.5593072978797752,-0.426502743822125,-0.5219349745485165,0.4825502580721514
2,1732596326.0958257,0.08712978661060333,0.1711992621421814,-0.03127767890691757,0.5160362020081805,-0.31978398641163724,-0.7830977637134946,0.13491735790950246
3,1732596326.0958257,-0.09427665174007416,1.435866117477417,-0.042189307510852814,0.5262262867049666,0.43672995017830757,-0.24396050095222366,0.6876309036009864
5,1732596326.0958257,-0.050217155367136,1.0629386901855469,0.43216365575790405,0.7453011414424111,0.6644921235957703,-0.05403884934974588,0.007504736513655199
0,1732596326.1068008,0.007260395213961601,1.6811784505844116,0.17531217634677887,0.997610104837171,-0.0589755447000251,-0.023867815665111227,-0.026949781601883115
1,1732596326.1068008,-0.16479748487472534,0.19858549535274506,0.6259536743164062,0.5367984981787143,-0.45079463508024237,-0.4963311074706598,0.5121397555793749
2,1732596326.1068008,0.08646093308925629,0.16988272964954376,-0.016740016639232635,0.5124724857574023,-0.321014225092636,-0.7829701526833011,0.14587478958809416
3,1732596326.1068008,-0.08516283333301544,1.436141014099121,-0.04187911003828049,0.5253030782032797,0.43559058567405695,-0.23801057245873486,0.6911357762635452
5,1732596326.1068008,-0.04843435809016228,1.0637460947036743,0.43090638518333435,0.7457644175123062,0.6640687646819454,-0.05265530474776572,0.008695338819534887
0,1732596326.117927,0.007260395213961601,1.6811784505844116,0.17531217634677887,0.997610104837171,-0.0589755447000251,-0.023867815665111227,-0.026949781601883115
1,1732596326.117927,-0.16451439261436462,0.20284263789653778,0.6252952218055725,0.5209786270059509,-0.4727320049570711,-0.4623060815374986,0.5397952074176273
2,1732596326.117927,0.08277380466461182,0.1701889932155609,0.004922904074192047,0.494259733236891,-0.30979970934241485,-0.7970445971704972,0.15636990215346236
3,1732596326.117927,-0.07669736444950104,1.4359411001205444,-0.043043576180934906,0.5199430275102893,0.4387361053567954,-0.2359896403416518,0.6938867837856594
5,1732596326.117927,-0.046781253069639206,1.064992070198059,0.4300954043865204,0.7434507511284051,0.6668388267574452,-0.05011577566385946,0.009767047884388352
0,1732596326.1289918,0.008666984736919403,1.6809158325195312,0.17659495770931244,0.9972150363186524,-0.06600812656059021,-0.021958768374638275,-0.02688640848472663
1,1732596326.1289918,-0.16530218720436096,0.20769456028938293,0.6236680746078491,0.5028840646142521,-0.49477924439527954,-0.42952518136516077,0.5637458288877619
2,1732596326.1289918,0.08231305330991745,0.16898103058338165,0.02075200527906418,0.49669312141302746,-0.31407296941152973,-0.793989774520598,0.15567343483483026
3,1732596326.1289918,-0.03625190258026123,1.4362976551055908,-0.04458194226026535,0.5251745467444738,0.43311870824970294,-0.23349964535454074,0.6943183004779937
5,1732596326.1300783,-0.04534206911921501,1.066053867340088,0.42929235100746155,0.7426992408914591,0.6680658049408441,-0.04479936016882477,0.008879781721600708
0,1732596326.1402564,0.008666984736919403,1.6809158325195312,0.17659495770931244,0.9972150363186524,-0.06600812656059021,-0.021958768374638275,-0.02688640848472663
1,1732596326.1402564,-0.16596361994743347,0.21272915601730347,0.6214634776115417,0.4827870992271863,-0.5155847084009341,-0.3952712776944191,0.5872391193905563
2,1732596326.1402564,0.08193273842334747,0.167631134390831,0.04282107949256897,0.49800402139041594,-0.3155852846083691,-0.7930698097201886,0.1530952687015597
3,1732596326.1402564,-0.024309270083904266,1.4361941814422607,-0.04569729417562485,0.5225529242136536,0.434616062092112,-0.23246901866748823,0.6957050737445085
5,1732596326.1402564,-0.043848149478435516,1.067083477973938,0.4284818768501282,0.7426207056133258,0.6684280095008783,-0.040445110568201915,0.009098242387756235
0,1732596326.151269,0.009603049606084824,1.6838734149932861,0.17829594016075134,0.9968927656880675,-0.06966690943401319,-0.02108510178235081,-0.030112000833325082
