TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ
1,1733888422,-0.08246509,0.094726503,0.186095446,0.690278184,-0.300651665,-0.59420922,0.282913579,2,1733888422,0.080094233,0.160520181,-0.414448857,0.78438705,0.015681182,0.616328338,-0.068047571,3,1733888422,-0.02161672,0.991991282,0.106242687,0.824429295,0.560973357,0.023687271,-0.071162615
1,1733888422,-0.083955742,0.094838388,0.206821233,0.687055222,-0.307693638,-0.590284763,0.291279268,2,1733888422,0.083320707,0.172932282,-0.433814645,0.784548477,0.049821964,0.616799148,-0.03950074,3,1733888422,-0.018941753,0.987132132,0.10462606,0.818712604,0.568350405,0.02955921,-0.076247992
1,1733888422,-0.085514106,0.09537816,0.226794451,0.682238186,-0.314695753,-0.587053473,0.301473103,2,1733888422,0.083832555,0.18007426,-0.445267558,0.785877779,0.072606468,0.613514137,-0.026921813,3,1733888422,-0.016618125,0.982643008,0.10291186,0.815752772,0.571838096,0.033856505,-0.080014534
1,1733888422,-0.087398134,0.096182071,0.244456202,0.675862812,-0.322634687,-0.583998299,0.313149,2,1733888422,0.084799424,0.183983788,-0.454794675,0.782487452,0.093486738,0.615306501,-0.019277734,3,1733888422,-0.014559262,0.978429556,0.10070315,0.817024207,0.569777021,0.03613988,-0.080743001
1,1733888422,-0.089895315,0.09726236,0.264332205,0.667330976,-0.331165234,-0.581071308,0.327650791,2,1733888422,0.083058245,0.177401215,-0.451537639,0.777360604,0.089066946,0.622204502,-0.025280649,3,1733888422,-0.012305185,0.97413224,0.098554671,0.818036555,0.568217,0.037955709,-0.080653801
1,1733888422,-0.092688926,0.098550528,0.282507628,0.65591698,-0.34167937,-0.577188091,0.346239947,2,1733888422,0.079858281,0.169657305,-0.448302656,0.777393998,0.069052119,0.624344364,-0.032931311,3,1733888422,-0.010291882,0.970107317,0.096200705,0.819159806,0.566796022,0.03764793,-0.079385823
1,1733888422,-0.096171387,0.100246124,0.299586028,0.642293239,-0.35369085,-0.571921101,0.367788634,2,1733888422,0.076026522,0.15646635,-0.44052133,0.774952287,0.049137006,0.627339881,-0.058984119,3,1733888422,-0.008560613,0.966144264,0.093702793,0.818146858,0.568398494,0.0378047,-0.07829197
1,1733888422,-0.100030608,0.102202877,0.316530257,0.625416761,-0.368712426,-0.562579609,0.395486066,2,1733888422,0.070163593,0.143943816,-0.42733413,0.763884878,0.017529725,0.6409263,-0.073390286,3,1733888422,-0.007274985,0.96210444,0.090669721,0.814314714,0.573915786,0.03855473,-0.077625499
1,1733888422,-0.103505917,0.104149953,0.332053989,0.607537628,-0.383689548,-0.549592947,0.426178246,2,1733888422,0.065052286,0.135487571,-0.421781451,0.754140057,-0.015255046,0.650666641,-0.087595773,3,1733888422,-0.006497927,0.958844125,0.087442517,0.805473911,0.586715791,0.040434251,-0.073085371
1,1733888422,-0.107266299,0.106654316,0.345976084,0.585810908,-0.402590822,-0.532358503,0.459718157,2,1733888422,0.05979364,0.126749113,-0.416563272,0.744089458,-0.044844016,0.658065609,-0.106158535,3,1733888422,-0.005603351,0.956375062,0.084756225,0.797906288,0.597817139,0.040832101,-0.065520902
