TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ
1,1734402573,-0.057606369,0.134816647,-0.737996101,0.678146259,-0.117230767,0.725154293,0.02293166,2,1734402573,0.132969245,0.078637734,-0.195580631,0.676646126,-0.319793661,0.611862711,-0.255941373,3,1734402573,0.074874781,0.969006717,-0.236324057,0.781761162,0.622363753,0.029735326,0.025074222
1,1734402573,-0.055174664,0.134394258,-0.741493225,0.679568431,-0.119118281,0.723233389,0.030511441,2,1734402573,0.133246392,0.078788064,-0.185718954,0.673390315,-0.324743008,0.61005116,-0.262536202,3,1734402573,0.07314226,0.96727097,-0.238395527,0.782283207,0.621752783,0.028433995,0.025453358
1,1734402573,-0.052047193,0.131842375,-0.742131233,0.679321053,-0.122446344,0.722896342,0.030832674,2,1734402573,0.133933216,0.078814872,-0.176832512,0.669930368,-0.329937661,0.608148767,-0.269239054,3,1734402573,0.071330994,0.965569317,-0.240402207,0.783002913,0.620899503,0.027382028,0.025308006
1,1734402573,-0.048431158,0.127646402,-0.741958857,0.679024718,-0.126338956,0.722520294,0.030467941,2,1734402573,0.134240568,0.079064898,-0.167121112,0.665783547,-0.335990808,0.605872866,-0.277057095,3,1734402573,0.069330804,0.963694394,-0.242616862,0.783478791,0.620352837,0.026159364,0.025279553
1,1734402573,-0.044498742,0.120559178,-0.73798877,0.677041568,-0.133436883,0.723458834,0.020406526,2,1734402573,0.134661496,0.079433776,-0.158382356,0.660932141,-0.342688476,0.60339001,-0.285751487,3,1734402573,0.067274384,0.961874306,-0.244937107,0.781366106,0.623069614,0.025214763,0.024809178
1,1734402573,-0.037574545,0.110721141,-0.730382562,0.675724945,-0.130013406,0.724908026,-0.03162986,2,1734402573,0.135599837,0.079735249,-0.149677902,0.65541843,-0.349814015,0.600392099,-0.295949452,3,1734402573,0.065090857,0.959866762,-0.247582167,0.777624738,0.627766563,0.024885372,0.024283511
1,1734402573,-0.033260532,0.104930125,-0.726346612,0.678528914,-0.133831687,0.720477293,-0.050990573,2,1734402573,0.136418402,0.080259785,-0.141241848,0.649027553,-0.357422392,0.597152275,-0.307280962,3,1734402573,0.062763289,0.957951784,-0.250514477,0.773637548,0.632707074,0.023367362,0.024912601
1,1734402573,-0.028829277,0.099208869,-0.722376227,0.678792943,-0.137050958,0.717713702,-0.073104045,2,1734402573,0.137282699,0.080799289,-0.133280933,0.642601281,-0.364587806,0.59400098,-0.318279954,3,1734402573,0.060349487,0.956086278,-0.253414541,0.770113328,0.63701708,0.021514918,0.025918434
1,1734402573,-0.02726461,0.09212333,-0.717540443,0.67316968,-0.156496959,0.717055786,-0.090457282,2,1734402573,0.138618439,0.081567146,-0.126083076,0.633352011,-0.373222048,0.589997764,-0.333875943,3,1734402573,0.057494581,0.954446733,-0.256829381,0.768823724,0.638628052,0.016769925,0.027985012
1,1734402573,-0.028433464,0.086153142,-0.710418224,0.669786078,-0.171077004,0.715898744,-0.098022604,2,1734402573,0.140302718,0.082392119,-0.119220763,0.621669411,-0.384896184,0.584499566,-0.351770147,3,1734402573,0.054481082,0.9530285,-0.260501802,0.771115229,0.635995203,0.012415948,0.027154139
1,1734402573,-0.030587167,0.081435569,-0.703412771,0.666368383,-0.186205443,0.714401734,-0.104455103,2,1734402573,0.141246602,0.083480284,-0.113903373,0.608581413,-0.397977752,0.577928496,-0.370461049,3,1734402573,0.051716059,0.952127397,-0.263798535,0.775567782,0.630682188,0.008100896,0.025864395
1,1734402573,-0.03320767,0.076808348,-0.696208477,0.664958417,-0.201170458,0.71066578,-0.110972408,2,1734402573,0.142129794,0.08482223,-0.108670801,0.594735011,-0.411027843,0.570554724,-0.389633225,3,1734402573,0.048919551,0.951636136,-0.267021507,0.780679788,0.624430726,0.003223698,0.024798008
1,1734402573,-0.035352707,0.073116347,-0.687265337,0.675259916,-0.218383467,0.695759502,-0.11068548,2,1734402573,0.142902121,0.086628854,-0.105560094,0.578057129,-0.431827957,0.557515437,-0.410549859,3,1734402573,0.046379868,0.951792002,-0.269963384,0.786460519,0.617184218,-0.002243241,0.023632148
1,1734402573,-0.036004022,0.071884334,-0.677393556,0.674146886,-0.21916648,0.695728582,-0.115990498,2,1734402573,0.14291212,0.089646414,-0.103947103,0.56133133,-0.453766859,0.542862426,-0.429306048,3,1734402573,0.044944987,0.952675879,-0.2717489,0.788210924,0.615133849,-0.003652103,0.017903549
1,1734402573,-0.035949379,0.070879765,-0.667013884,0.670290098,-0.221449521,0.697883686,-0.120953915,2,1734402573,0.143041193,0.092892818,-0.10373947,0.543389536,-0.476366579,0.526059292,-0.448402729,3,1734402573,0.043551397,0.953936398,-0.273452818,0.790025287,0.612906639,-0.005330472,0.013312796
1,1734402573,-0.035860732,0.070067264,-0.656467736,0.667370199,-0.22392608,0.69906266,-0.125641394,2,1734402573,0.142947435,0.09719789,-0.104311228,0.524694007,-0.498419432,0.508407729,-0.466686809,3,1734402573,0.042245325,0.955132544,-0.274751306,0.791890417,0.610537204,-0.007456764,0.009921551
1,1734402573,-0.036380224,0.069342732,-0.645972252,0.667732529,-0.225402767,0.698068968,-0.126596543,2,1734402573,0.142849147,0.103013746,-0.107077539,0.509308935,-0.51687485,0.490326484,-0.482726747,3,1734402573,0.041062936,0.956256211,-0.275495201,0.793719894,0.608101184,-0.010511902,0.010544426
1,1734402574,-0.036353432,0.06879174,-0.634837627,0.66692879,-0.225760509,0.698278019,-0.129019902,2,1734402574,0.143111736,0.108916365,-0.110601932,0.496551104,-0.532595886,0.470449496,-0.498453327,3,1734402574,0.040016308,0.957490087,-0.276080102,0.795721411,0.605421166,-0.012986875,0.011137595
1,1734402574,-0.036482751,0.068455815,-0.623806238,0.665942789,-0.22677297,0.698491075,-0.131166741,2,1734402574,0.142549992,0.114898011,-0.115766555,0.489172993,-0.544487146,0.450934059,-0.510785732,3,1734402574,0.038902003,0.958678007,-0.276719809,0.79699485,0.603694289,-0.014680985,0.011702236
1,1734402574,-0.036430568,0.067945391,-0.613169372,0.665209251,-0.227703427,0.698489497,-0.133268548,2,1734402574,0.14235346,0.121195719,-0.122620583,0.48989984,-0.549896219,0.43210644,-0.520477123,3,1734402574,0.037688732,0.959885716,-0.276678622,0.797808493,0.602569106,-0.01608447,0.012386633
1,1734402574,-0.036808535,0.067532293,-0.601865172,0.664718142,-0.230005436,0.698012271,-0.13426203,2,1734402574,0.142537132,0.131078839,-0.134351999,0.510987728,-0.546758649,0.431395244,-0.503829983,3,1734402574,0.036548119,0.961295545,-0.276525617,0.798296068,0.601871225,-0.017361514,0.013154359
1,1734402574,-0.037506327,0.067255192,-0.590596795,0.664632149,-0.232610916,0.697124907,-0.134808293,2,1734402574,0.141939595,0.136566937,-0.147616833,0.521233484,-0.54831196,0.423958734,-0.497924399,3,1734402574,0.03556174,0.962996602,-0.275958419,0.798348584,0.601774929,-0.018055386,0.01343335
1,1734402574,-0.038100347,0.066940196,-0.579836428,0.664293703,-0.235256135,0.696454014,-0.135352755,2,1734402574,0.141238272,0.140935555,-0.160748661,0.531107997,-0.549712982,0.41644692,-0.492251928,3,1734402574,0.034583297,0.964444041,-0.275588334,0.798608321,0.601391464,-0.018983253,0.013880586
1,1734402574,-0.038677797,0.066710532,-0.568082213,0.663616224,-0.23861936,0.695724966,-0.136531953,2,1734402574,0.141435087,0.143199742,-0.176171958,0.542033556,-0.54594078,0.407263004,-0.492224619,3,1734402574,0.035030935,0.967259169,-0.274426877,0.797945426,0.60245474,-0.015496094,0.009554541
1,1734402574,-0.039244391,0.066585459,-0.556734741,0.663080555,-0.241020384,0.695170499,-0.137736656,2,1734402574,0.140711844,0.144065142,-0.192753345,0.554409903,-0.538477687,0.406584746,-0.487196596,3,1734402574,0.034918468,0.969434679,-0.273759186,0.79881365,0.601373093,-0.013645002,0.007812939
1,1734402574,-0.039602764,0.06641414,-0.54567039,0.662371555,-0.2434233,0.694728559,-0.139144752,2,1734402574,0.140048906,0.144572139,-0.209865183,0.565214706,-0.530858345,0.411939044,-0.478568956,3,1734402574,0.034774888,0.971541762,-0.273107141,0.801596747,0.597710754,-0.011654128,0.006984664
1,1734402574,-0.039883047,0.066217944,-0.534883678,0.661757637,-0.245604668,0.694255496,-0.140586639,2,1734402574,0.138519913,0.143604144,-0.22804752,0.575063672,-0.522448378,0.420201398,-0.46880752,3,1734402574,0.034889665,0.97360003,-0.272365004,0.804131381,0.594340299,-0.009770117,0.006080743
1,1734402574,-0.040174149,0.066161782,-0.524429202,0.660979167,-0.247279212,0.694159491,-0.14178186,2,1734402574,0.1371499,0.141994625,-0.247530639,0.584399122,-0.50960866,0.433912622,-0.458799057,3,1734402574,0.035227589,0.975416422,-0.271402389,0.807447109,0.589860403,-0.007844162,0.005696857
1,1734402574,-0.040464118,0.066385202,-0.513617575,0.660257041,-0.249491651,0.693743114,-0.143301275,2,1734402574,0.136117518,0.139399901,-0.267378986,0.594094076,-0.494303979,0.447832366,-0.449624455,3,1734402574,0.035573844,0.977024138,-0.270252347,0.807828781,0.589363793,-0.005836276,0.005391807
1,1734402574,-0.040766194,0.066415586,-0.502849102,0.659817629,-0.250849299,0.693392556,-0.14464516,2,1734402574,0.135435551,0.135400951,-0.288361669,0.604041759,-0.477566493,0.462112214,-0.43990454,3,1734402574,0.036130339,0.978547513,-0.268980324,0.807402696,0.589961448,-0.00433748,0.005253698
1,1734402574,-0.041018635,0.066304192,-0.491897047,0.659076948,-0.252433454,0.69321774,-0.146096797,2,1734402574,0.134833068,0.13101013,-0.309771687,0.613800468,-0.460252595,0.47612743,-0.429789594,3,1734402574,0.036573622,0.979803801,-0.267625749,0.80653661,0.591155682,-0.002863675,0.005049713
1,1734402574,-0.041178912,0.066338077,-0.481297612,0.657881531,-0.253813033,0.693353032,-0.148433566,2,1734402574,0.135087907,0.125837579,-0.332495809,0.625353659,-0.442453002,0.489646694,-0.416430511,3,1734402574,0.037104949,0.980788767,-0.266118824,0.804437955,0.59401834,-0.001205368,0.004520853
1,1734402574,-0.041315556,0.066195995,-0.46998173,0.657102122,-0.254654858,0.693399406,-0.150216747,2,1734402574,0.135724157,0.121297993,-0.35586226,0.640137112,-0.422399697,0.501505505,-0.40036899,3,1734402574,0.037787091,0.981630087,-0.264549613,0.802815454,0.596215945,0.000816939,0.003651923
1,1734402574,-0.04144273,0.066063575,-0.458680987,0.656132143,-0.255654168,0.693543557,-0.152082213,2,1734402574,0.136493698,0.116214678,-0.379752398,0.653351739,-0.402121338,0.513255829,-0.384705743,3,1734402574,0.038406432,0.982399881,-0.262926549,0.80142045,0.59808823,0.002768404,0.002853885
1,1734402574,-0.041592546,0.066206001,-0.447987348,0.654968498,-0.256909987,0.693759269,-0.153985655,2,1734402574,0.138739675,0.111938447,-0.403613567,0.670184426,-0.380810275,0.520781283,-0.366910597,3,1734402574,0.039162047,0.982848227,-0.261378139,0.801389677,0.598121684,0.004414765,0.00238743
1,1734402574,-0.04170154,0.066132978,-0.436230719,0.65385973,-0.258133095,0.693949684,-0.155784069,2,1734402574,0.140822515,0.108017631,-0.428416759,0.685936021,-0.360707955,0.528447676,-0.346589754,3,1734402574,0.0400187,0.983140409,-0.259716183,0.801386246,0.598111805,0.00628245,0.001731985
1,1734402574,-0.041742086,0.066298157,-0.42610088,0.652985854,-0.258722715,0.69419346,-0.157377482,2,1734402574,0.143145964,0.104554348,-0.451934308,0.698500656,-0.343278091,0.535999363,-0.327049941,3,1734402574,0.040800445,0.983343065,-0.258159548,0.801280968,0.598234333,0.007989198,0.000848847
1,1734402574,-0.041854404,0.066160895,-0.414960474,0.652031415,-0.259538569,0.694414955,-0.159005686,2,1734402574,0.145607874,0.101095408,-0.476362199,0.710857421,-0.324764174,0.543302824,-0.306646382,3,1734402574,0.041615639,0.983451545,-0.256539702,0.800985343,0.598605388,0.009701479,-0.000110561
1,1734402574,-0.041899897,0.066091061,-0.403319895,0.650813252,-0.260743125,0.694620589,-0.161112823,2,1734402574,0.14831005,0.098853141,-0.501098454,0.721269197,-0.306077613,0.552230373,-0.284831449,3,1734402574,0.042592712,0.983382583,-0.254832566,0.79981322,0.600148283,0.010889547,-0.001548456
1,1734402574,-0.041960314,0.065950267,-0.392292857,0.649437831,-0.261615764,0.695220857,-0.162652509,2,1734402574,0.15113008,0.097169653,-0.524316192,0.730300277,-0.288193911,0.560148454,-0.264271578,3,1734402574,0.043487921,0.98326844,-0.253247619,0.798667929,0.601644092,0.012047088,-0.002973702
1,1734402574,-0.041958883,0.066118412,-0.382143974,0.648402207,-0.262569275,0.695393022,-0.164500664,2,1734402574,0.153459847,0.096574724,-0.546079099,0.737597671,-0.271273089,0.568179979,-0.243991906,3,1734402574,0.044341166,0.983017147,-0.251675904,0.796927918,0.603922065,0.012810437,-0.004466428
1,1734402574,-0.042014383,0.065974467,-0.371117711,0.647242965,-0.263690401,0.69560698,-0.166357646,2,1734402574,0.156275898,0.096669458,-0.568753719,0.744754768,-0.253508684,0.575517797,-0.223277532,3,1734402574,0.045219973,0.982547164,-0.25008893,0.795435517,0.605858769,0.013516783,-0.005899016
