TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ
1,1733890735,-0.146861255,0.077413425,-0.395143121,0.627279022,-0.254533962,0.704488842,-0.213141153,2,1733890735,0.080515869,0.147091955,-0.933839202,0.627409199,-0.15363034,-0.762453451,-0.037685663,3,1733890735,-0.062818818,0.980208576,-0.439142764,0.713679869,0.70031255,-0.013436233,-0.006535469
1,1733890735,-0.148168117,0.077653855,-0.383822501,0.626003556,-0.261358787,0.701928612,-0.217042832,2,1733890735,0.079216801,0.141961023,-0.933406115,0.618289603,-0.164216962,-0.768147146,-0.026475221,3,1733890735,-0.061774261,0.977586806,-0.439447314,0.710727685,0.703264221,-0.014697004,-0.008343505
1,1733890735,-0.14901036,0.077934191,-0.374417365,0.624248959,-0.268293649,0.699367217,-0.221849281,2,1733890735,0.077786826,0.135928139,-0.930775762,0.608498649,-0.173049106,-0.774275825,-0.016741957,3,1733890735,-0.060692511,0.975206375,-0.439968705,0.707087578,0.706896637,-0.015076299,-0.009853129
1,1733890735,-0.150122017,0.078372471,-0.364645034,0.621782587,-0.277198502,0.695968159,-0.228420235,2,1733890735,0.075454779,0.129537672,-0.925187349,0.60016537,-0.181109926,-0.7790788,-0.006099028,3,1733890735,-0.059073113,0.972777128,-0.441198289,0.700247629,0.713659596,-0.014132884,-0.011981913
1,1733890735,-0.151157826,0.078813829,-0.355499566,0.619266918,-0.286131021,0.692290623,-0.235310814,2,1733890735,0.072578959,0.12325798,-0.918509007,0.594638442,-0.187782951,-0.781738305,0.005279384,3,1733890735,-0.057281934,0.97047013,-0.442509592,0.693207983,0.72048129,-0.013174399,-0.013995803
1,1733890735,-0.152480721,0.079350799,-0.34703064,0.616046182,-0.298798067,0.686591372,-0.244538563,2,1733890735,0.069126047,0.117292464,-0.91180408,0.59100621,-0.183815358,-0.784535951,0.037772257,3,1733890735,-0.055533208,0.968034506,-0.443776965,0.686658724,0.726694781,-0.012457207,-0.016105206
1,1733890735,-0.153995752,0.079961754,-0.337837845,0.612562445,-0.313094322,0.679800516,-0.254185882,2,1733890735,0.064072564,0.111844294,-0.905514598,0.59204179,-0.183781983,-0.782192317,0.062337345,3,1733890735,-0.051596276,0.966425836,-0.446883291,0.675994414,0.736574717,-0.007918021,-0.020651659
1,1733890735,-0.155637473,0.08063896,-0.331110418,0.608073985,-0.330526741,0.671200539,-0.265495663,2,1733890735,0.059752375,0.106558889,-0.901742339,0.594922392,-0.189598492,-0.776406588,0.085513967,3,1733890735,-0.048372813,0.964978158,-0.449298084,0.669565593,0.742350484,-0.004814036,-0.023969102
1,1733890735,-0.157342434,0.081293561,-0.32442975,0.602480717,-0.348899841,0.662173322,-0.277150435,2,1733890735,0.05608426,0.101025008,-0.898957253,0.59858592,-0.207511544,-0.765721397,0.110925959,3,1733890735,-0.045016833,0.964455009,-0.452106148,0.666681822,0.744909668,-0.001347828,-0.025358792
1,1733890735,-0.159093827,0.082019314,-0.318195164,0.594992608,-0.371383005,0.650472242,-0.291451889,2,1733890735,0.053720146,0.095642135,-0.894958377,0.599026055,-0.228668448,-0.755854819,0.132522595,3,1733890735,-0.041855924,0.964205742,-0.454763651,0.664343195,0.746996682,0.001536076,-0.025333651
1,1733890735,-0.160999417,0.082892358,-0.313553929,0.580829101,-0.398800326,0.637053194,-0.312664395,2,1733890735,0.05247315,0.09161716,-0.888175964,0.592473141,-0.241637571,-0.7543561,0.146743812,3,1733890735,-0.038970463,0.964925528,-0.457439125,0.667451783,0.744271107,0.004511857,-0.023417722
1,1733890735,-0.162347645,0.083269343,-0.309545159,0.564452894,-0.429366053,0.619690842,-0.336185936,2,1733890735,0.051453784,0.089685299,-0.878940225,0.591137078,-0.242664917,-0.754118565,0.151577848,3,1733890735,-0.036176153,0.965625703,-0.45999667,0.672067888,0.740116243,0.008076449,-0.022080285
1,1733890735,-0.162935019,0.083661973,-0.307598799,0.541721381,-0.460687618,0.59939416,-0.367466836,2,1733890735,0.049611211,0.088792548,-0.868086457,0.588273656,-0.237048942,-0.757634773,0.154049786,3,1733890735,-0.033491246,0.966962099,-0.462397337,0.68109233,0.731802801,0.012212524,-0.020707745
1,1733890735,-0.164268732,0.083953418,-0.304903567,0.516419074,-0.494928244,0.576458825,-0.395035276,2,1733890735,0.048383154,0.087636344,-0.857949436,0.586707226,-0.239828839,-0.757151464,0.158046215,3,1733890735,-0.030943729,0.968551695,-0.46438238,0.697169553,0.716434191,0.016480066,-0.020125247
1,1733890735,-0.1653364,0.08406698,-0.3025828,0.490517489,-0.526269044,0.552304553,-0.421181053,2,1733890735,0.047690146,0.08646746,-0.847580075,0.585978494,-0.243665431,-0.75566671,0.161939468,3,1733890735,-0.02837345,0.970026672,-0.466132164,0.70952071,0.704010276,0.022066119,-0.021515123
1,1733890735,-0.167101324,0.091200776,-0.300957263,0.459616126,-0.557847993,0.537847871,-0.433910448,2,1733890735,0.047063686,0.086183876,-0.83589834,0.586122283,-0.239510024,-0.757261518,0.160157946,3,1733890735,-0.025892213,0.971354842,-0.467325151,0.716973619,0.696038211,0.029294921,-0.024926379
1,1733890735,-0.167929977,0.09820921,-0.300409853,0.436444478,-0.573403616,0.524315428,-0.453671925,2,1733890735,0.046312124,0.085417092,-0.825157404,0.585596115,-0.239251752,-0.757548253,0.161110116,3,1733890735,-0.023443133,0.971714675,-0.467260122,0.707409164,0.705608406,0.031415521,-0.026496362
1,1733890735,-0.167613536,0.107804798,-0.303253293,0.417353523,-0.578788721,0.511501016,-0.478733734,2,1733890735,0.045528121,0.084979042,-0.814149439,0.586125992,-0.239016144,-0.757063256,0.161810987,3,1733890735,-0.021120295,0.971780062,-0.467464298,0.700179208,0.712690436,0.033730012,-0.026148456
1,1733890735,-0.167800367,0.116568662,-0.306681156,0.393786771,-0.590279724,0.49824357,-0.498252226,2,1733890735,0.044708356,0.084640168,-0.80266422,0.586136492,-0.238653877,-0.757076211,0.162246541,3,1733890735,-0.019142516,0.971811831,-0.466911107,0.689059234,0.723493225,0.034368859,-0.023950628
1,1733890735,-0.167899132,0.126634464,-0.311227173,0.369964903,-0.600818514,0.493744496,-0.50829247,2,1733890735,0.044309266,0.084254377,-0.791672289,0.586018894,-0.239258019,-0.756936555,0.162432194,3,1733890735,-0.017299071,0.97217536,-0.46629113,0.680774658,0.73130556,0.035195164,-0.022347576
