TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,TrackerIndex,Time,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ
1,1734564012,-0.126770645,0.054731298,-0.158313975,0.65756621,-0.235243878,0.700662272,-0.146079855,2,1734564012,0.00284303,0.097675867,-0.30426091,0.691484592,-0.313627569,0.576714811,-0.301474332,3,1734564012,-0.070508391,0.895122886,-0.144472569,0.74075021,0.668881324,-0.043566389,-0.044597528
1,1734564012,-0.127425313,0.055276737,-0.133975685,0.655195902,-0.240021819,0.700502419,-0.149680473,2,1734564012,0.003900908,0.09331508,-0.333501011,0.699418404,-0.286763993,0.591606701,-0.280324601,3,1734564012,-0.070835084,0.897981286,-0.141773343,0.705048612,0.706517995,-0.051435455,-0.033065679
1,1734564012,-0.12823163,0.055841267,-0.111843035,0.651775935,-0.248351955,0.700533338,-0.150872386,2,1734564012,0.00469894,0.0894989,-0.360100389,0.704042779,-0.263705376,0.604878211,-0.26249884,3,1734564012,-0.071125351,0.901968062,-0.139756396,0.68128151,0.729545766,-0.055735962,-0.022625175
1,1734564012,-0.129010931,0.057071656,-0.090211272,0.647230122,-0.260969478,0.698434927,-0.158672449,2,1734564012,0.004547179,0.087714262,-0.385943025,0.705326626,-0.241474662,0.620129347,-0.244221301,3,1734564012,-0.071109176,0.90691644,-0.139050677,0.671802007,0.738433865,-0.056693986,-0.013539005
1,1734564012,-0.129940301,0.058839567,-0.069336712,0.641000071,-0.278449969,0.6946673,-0.170358541,2,1734564012,0.004247174,0.08628317,-0.412329078,0.705184985,-0.219644058,0.635870704,-0.223917921,3,1734564012,-0.070606485,0.913392365,-0.139773071,0.683643347,0.727675302,-0.05542714,-0.006943466
1,1734564012,-0.131009877,0.060607016,-0.049898982,0.631741474,-0.301987683,0.690506414,-0.181403724,2,1734564012,0.00274279,0.086614609,-0.433476388,0.698833094,-0.207941695,0.650725367,-0.212011919,3,1734564012,-0.069824882,0.92007339,-0.141233906,0.700811101,0.711237487,-0.054772318,-0.0022733
1,1734564012,-0.132264659,0.062823422,-0.031369388,0.618540669,-0.331083815,0.682593887,-0.204589959,2,1734564012,0.00161165,0.086965412,-0.454821736,0.69113672,-0.196454915,0.665501083,-0.202098704,3,1734564012,-0.069149055,0.927627325,-0.143474475,0.725242342,0.686356252,-0.05420765,0.000531891
1,1734564012,-0.133814216,0.064499751,-0.015660137,0.601710199,-0.365351848,0.673715522,-0.224878256,2,1734564012,0.000678685,0.087247573,-0.475969106,0.684659922,-0.183733862,0.679056697,-0.190695407,3,1734564012,-0.068078965,0.935195446,-0.145673424,0.747626311,0.661869464,-0.054547495,0.002862553
1,1734564012,-0.136032537,0.066621274,8.84E-05,0.580170512,-0.404876402,0.659118048,-0.255030913,2,1734564012,-0.000161156,0.090243749,-0.479175568,0.673741128,-0.185190887,0.686537241,-0.201106566,3,1734564012,-0.066860124,0.942394674,-0.147819832,0.768507257,0.637338091,-0.056227641,0.005936081
1,1734564012,-0.138010532,0.068299338,0.014981002,0.554243582,-0.446363706,0.642765328,-0.283595382,2,1734564012,-0.000562955,0.092301548,-0.485743493,0.669695004,-0.180409145,0.692298451,-0.199208768,3,1734564012,-0.065472215,0.948600054,-0.149515152,0.783646746,0.61847891,-0.057602516,0.007981858
1,1734564012,-0.140285954,0.070120148,0.027651161,0.530183956,-0.483474289,0.625526689,-0.306388669,2,1734564012,-0.000486452,0.093199365,-0.481509924,0.67404521,-0.180496778,0.686965325,-0.202885822,3,1734564012,-0.063772842,0.954296589,-0.150489643,0.790653984,0.609474719,-0.057902753,0.007354551
1,1734564012,-0.143275484,0.071894795,0.041517019,0.49925628,-0.526110254,0.60401365,-0.330331367,2,1734564012,-0.000562102,0.09303581,-0.477765739,0.677150015,-0.17853835,0.682441897,-0.209440121,3,1734564012,-0.061728939,0.958664179,-0.151129082,0.791246536,0.608845374,-0.056741092,0.004092303
1,1734564012,-0.14609766,0.074037917,0.054460287,0.468830493,-0.564154054,0.584153224,-0.347410055,2,1734564012,-0.001246657,0.090461254,-0.467345417,0.679668056,-0.180301258,0.674301495,-0.225521765,3,1734564012,-0.059674814,0.96181047,-0.151358604,0.785867075,0.615977846,-0.054626077,-0.000478594
1,1734564012,-0.148953408,0.076842226,0.065898776,0.436395317,-0.597847149,0.564184415,-0.365833101,2,1734564012,-0.002301887,0.086819485,-0.455438495,0.678508193,-0.18478258,0.668796163,-0.241233976,3,1734564012,-0.057431303,0.964067578,-0.151093513,0.775283732,0.629366238,-0.053043087,-0.00443778
1,1734564012,-0.15161036,0.081156559,0.076463014,0.40530462,-0.62358833,0.544876966,-0.38726625,2,1734564012,-0.005779523,0.080311045,-0.437460363,0.669854113,-0.199523349,0.667205389,-0.257532725,3,1734564012,-0.055386692,0.965129018,-0.150824532,0.764841577,0.642115048,-0.051484746,-0.007409335
1,1734564012,-0.154390395,0.086079359,0.084150046,0.372824078,-0.645511806,0.526027599,-0.409404426,2,1734564012,-0.00942485,0.073514864,-0.419676751,0.658998643,-0.214350398,0.666993675,-0.273668529,3,1734564012,-0.053612396,0.965152085,-0.150536016,0.758692191,0.649521689,-0.049169219,-0.009494744
1,1734564012,-0.157232732,0.091200605,0.089670897,0.336502426,-0.66597602,0.508085348,-0.430222294,2,1734564012,-0.01396969,0.064871423,-0.398674846,0.641509269,-0.230709324,0.669652759,-0.294625895,3,1734564012,-0.051874489,0.964030743,-0.150196612,0.753593988,0.655613178,-0.046104464,-0.011911162
1,1734564012,-0.159299701,0.095996492,0.092731744,0.297453007,-0.682758749,0.491251251,-0.451702706,2,1734564012,-0.023447067,0.070386022,-0.369330138,0.659143009,-0.243467522,0.681212244,-0.205436699,3,1734564012,-0.05074884,0.960305572,-0.149692237,0.758003395,0.65088303,-0.039698128,-0.014359106
1,1734564012,-0.161870286,0.102801941,0.093327135,0.268511131,-0.694620787,0.481394023,-0.462237169,2,1734564012,-0.023453757,0.066942051,-0.342012227,0.66918709,-0.226008629,0.670145536,-0.228065096,3,1734564012,-0.049694642,0.955993474,-0.14921172,0.760838602,0.647861372,-0.033880895,-0.015886715
1,1734564012,-0.163682371,0.111891977,0.087490469,0.267880537,-0.687980423,0.492451129,-0.460886046,2,1734564012,-0.023833252,0.065567054,-0.317495793,0.670029851,-0.220280178,0.675909043,-0.213737187,3,1734564012,-0.048830301,0.950263619,-0.148578763,0.763324607,0.645157489,-0.029393984,-0.015602066
1,1734564012,-0.164962426,0.120891854,0.076851726,0.269642365,-0.677994243,0.501639429,-0.464729785,2,1734564012,-0.025324792,0.063900627,-0.294481546,0.670773074,-0.220101182,0.676358979,-0.210137097,3,1734564012,-0.048238471,0.943249941,-0.147152305,0.764985769,0.643380414,-0.025168778,-0.014998611
1,1734564012,-0.165529519,0.1289002,0.062454313,0.275041586,-0.662990626,0.510588048,-0.47338794,2,1734564012,-0.027525626,0.062691219,-0.270703137,0.676069419,-0.220792757,0.674655034,-0.197538301,3,1734564012,-0.047856472,0.935273468,-0.14533262,0.765878531,0.642483569,-0.020655264,-0.014777115
1,1734564012,-0.164750814,0.135675535,0.043876469,0.283127048,-0.644793476,0.522755822,-0.480422909,2,1734564012,-0.028519377,0.061558247,-0.24795261,0.676976291,-0.223704821,0.673635777,-0.194613017,3,1734564012,-0.047742195,0.926345944,-0.14276588,0.764775308,0.643945674,-0.014474018,-0.015594117
